genes,SRR2973353,SRR2973354,SRR2973355,SRR2973356,SRR2973357,SRR2973358,SRR2973360,SRR2973361,SRR2973365,SRR2973366,SRR2973367,SRR2973368,SRR2973369,SRR2973386,SRR2973393,SRR2973396,SRR2973397,SRR2973400,SRR2973404,SRR2973409,SRR2973416,SRR2973417,SRR2973433
JPT2,12.531956,2.738625,2.519941,1.12139,36.129058,143.600512,30.554404,1.593695,6.005565,0.940161,27.336452,28.69495,11.66621,37.315069,84.816685,35.36995,5.913756,99.496245,7.329657,202.660274,3.023367,91.817367,26.283049
JRK,6.252076,0.267027,0.184745,0.998292,27.497984,25.756603,1.490103,12.24498,0.043088,15.320042,0.731631,1.541287,9.850735,1.284919,6.505615,2.223812,0.620335,0.039787,2.830613,0.420624,2.843425,0,0
JTB,31.270302,0,13.680799,10.996751,85.870599,11.071678,34.580035,0,46.768591,19.578486,192.530577,0,23.880259,55.847336,1.244644,65.212504,15.281888,11.054159,70.455221,10.8904,4.646439,249.377109,13.006255
JUN,6.557719,105.22819,31.122975,94.042955,1.012053,19.290681,18.216221,25.358064,12.563478,4.805075,17.199312,5.699497,2.544123,90.291002,63.22239,48.662244,29.707993,22.290369,71.319827,70.881662,99.11633,46.175542,28.28793
JUNB,0,11.949954,0,40.926287,1.405541,0.758898,17.64289,27.847501,0,1.15213,0,0,81.739666,537.023017,18.720203,86.729257,127.833029,192.040429,31.143484,78.150654,308.890463,118.6695,14.750833
JUND,922.450766,699.758463,417.631403,653.114093,744.95898,1184.76247,632.497059,745.147826,820.961166,665.911185,635.854341,199.886288,1214.924008,728.768641,264.891506,627.394607,746.233212,525.264028,1830.639561,803.134976,1160.792363,677.119862,200.877746
JUP,435.160711,359.339656,177.766949,220.264126,529.263851,831.448019,185.240003,251.348404,232.516519,209.584186,140.24301,264.976758,469.642939,311.774819,151.760874,337.30905,130.375223,97.74548,1240.88687,728.776507,275.211243,274.017636,299.901551
KALRN,0,0,0.188404,0,0.122021,0.093278,2.119741,51.170685,0.41214,0,5.123159,0.133197,0,6.831674,3.454449,0.02502,0.04303,0,3.57562,7.172406,0.124164,0.062213,0.108903
KANK1,0.307395,1.900818,1.423103,0.065585,0.34464,0.626625,1.41968,0.453304,3.378204,0.185389,0.475564,0.40941,0.126281,0.286515,56.973237,31.635904,0.482415,1.294043,0.267304,0.051861,1.407767,0,0.854798
KANK2,3.625732,1.441834,2.803596,21.129885,1.175094,4.493679,35.065455,2.245713,0.449528,0.899505,1.769451,3.29386,8.764303,10.361323,2.065571,0.529948,4.226609,2.485308,3.569436,5.746991,14.673108,0,78.162898
KANSL1,14.19114,59.688454,2.419799,0.625523,74.122698,2.641767,45.564307,1.021674,10.907312,3.92592,9.058074,0.626706,27.456292,10.591589,25.117903,13.738895,2.452769,4.204546,123.593845,14.485477,41.887923,0.805551,2.634973
KANSL1L,3.29706,4.396439,2.216021,5.665567,6.209734,4.542246,0.334958,1.262872,0.47686,2.042672,0.135989,0.084602,8.357162,5.954685,5.508443,0.580945,7.212476,1.249766,3.070584,20.11683,10.409122,0.762522,0.27181
KANSL2,21.00183,16.390004,100.430725,148.276074,218.320149,99.82052,51.355159,73.182989,1.83082,0,4.646464,11.620162,103.716434,6.632081,12.547492,4.973325,16.134772,74.022126,89.195541,2.360609,63.767736,3.109753,110.778808
KANSL3,1.086725,1.342877,15.670309,2.128249,1.85593,2.009424,3.380214,0.269665,0.33094,11.095818,3.645217,1.568667,43.628414,6.775235,11.421859,3.388957,4.152184,13.674284,7.921243,0.408339,49.618495,54.081577,6.364401
KARS,11.768725,92.226144,0,9.536942,0.52069,0,16.198582,179.705082,16.633214,46.644166,27.381284,3.343027,18.789534,11.946922,28.847799,69.817837,262.5558,117.387705,330.548342,15.429417,72.873547,5.995094,201.021291
KAT6A,0.470575,0.12112,0.315916,2.091209,0.362859,3.613297,0,0.436149,3.577089,29.560976,0.257485,0,9.474651,0.639461,11.230671,0,168.500984,21.729006,30.829178,0.04331,1.033443,49.458049,8.09765
KAT6B,43.274245,11.672605,1.764581,6.248896,20.031724,0,76.31879,15.919651,53.146117,6.120683,10.646016,38.460433,12.5967,9.386767,13.565969,0.056788,0,1.344674,82.480441,10.488495,0.707368,0.696355,0.236366
KAT7,26.406184,6.863608,139.388524,212.708859,62.78937,197.163644,148.51737,43.470685,101.743787,25.21086,9.448597,2.612896,119.351589,139.454083,421.405291,24.429018,8.514198,64.368662,28.723957,585.525781,54.856955,5.824298,56.390883
KATNA1,0,27.74305,0,0,0,0,0,44.686223,0,2.511174,0,0,23.707634,56.056097,0.534512,5.154809,0,21.222867,0,3.840188,0.27643,0,83.539074
KATNAL1,0.045791,0.977878,0.066764,0.032127,4.926664,0.063097,0.055618,0.78048,0.522184,0.207351,0.151597,0.035442,0.266741,8.364375,23.029144,0.034217,0,0.140898,0.290217,67.504333,6.809353,0,0.208697
KATNAL2,0,0,33.6822,0.412228,0.239378,3.968149,7.585504,0,0,6.75382,0,1.472749,0.98045,0,13.338938,0,0,0,6.109941,12.07322,1.706916,0,0.333105
KATNBL1,38.065515,71.211505,55.24489,0.866627,40.484183,7.532228,13.29473,7.997512,11.055756,8.932172,12.786224,17.900193,17.122047,32.877825,193.91168,34.177046,1.347042,22.988264,50.085685,183.800315,35.531771,1.875949,16.168653
KAZN,0.097505,0.420126,0,0.07376,0.100908,0.073155,1.608923,0.512011,5.484015,0,0.724516,0,2.987462,0,0.33505,1.708356,1.630011,0.059601,0.250125,1.104862,0,0,0.110205
KBTBD12,0.806404,0.480755,0.328498,0.085949,0.865423,0,0.708269,0,0.087878,0.073256,2.308623,1.122791,0.081328,1.169686,0,0.120322,0.109853,0,0.524904,0.146459,0.22836,0.050032,0.335262
KBTBD2,1.88886,7.856633,19.541005,3.793328,6.468607,0,54.958085,57.538797,59.293685,42.990601,5.205174,2.798618,0,57.760698,12.109504,0.725293,16.074962,0.878783,36.742603,0.153609,140.799151,0,0.133155
KBTBD6,0.131858,1.345756,1.532937,0.052848,0.108631,0.100791,4.951532,0.178305,0,1.022168,0.117784,1.50078,0.145187,2.327775,0.514584,0.135134,0.572677,2.731713,0.147748,9.689271,8.534431,0,0.202952
KCMF1,52.444903,0.300232,1.351008,0.034662,10.401635,27.785929,213.903,8.676084,1.367322,1.463326,289.085427,2.503621,35.250067,0.201021,0.977429,60.194281,12.236349,27.008521,106.040829,2.063837,0.043679,0,6.324313
KCNA2,0.208311,0.462484,0.097613,0.182188,0,16.877775,4.664619,4.446676,0.635574,0.019406,1.125582,0,4.123693,3.289416,31.98905,2.165701,0,0.649278,11.920567,0.066115,0,0,3.633943
KCNA7,1.268277,0.845805,3.220754,3.389982,1.735734,1.161224,5.324451,6.418537,0.990439,0.60181,1.35628,0.51479,0.102887,0.735549,3.977827,0.351705,1.280958,0.076871,0.991941,2.841449,2.023106,0,0.837963
KCNB1,6.080291,81.635418,299.362842,6.333164,2.817232,0.895262,294.919175,10.722059,5.110962,1.94937,15.364172,0.375118,3.952317,0.267352,132.830396,379.804036,4.345591,18.511808,0.671672,0.98247,17.956218,0,11.766908
KCNC4,7.03678,0.275216,0.206037,0.296048,0.123996,0.176288,0.299895,1.040684,0.132944,0.048902,0.115956,0.232625,0.598642,0.04772,0.370598,0.225255,0.256174,0.014812,0.102346,0.849092,0.199249,0,0.888028
KCNE3,0.901806,1.048445,0.430528,0,1.984543,3.246688,0.151776,2.025581,0.345752,0,0,0,0.165427,0,0.376255,0,0.44016,1.138493,0.166858,0.380795,1.043534,0,1.660319
KCNE4,39.714909,37.887049,13.729995,4.961276,7.064465,8.36847,6.812429,5.993764,17.598544,0.519437,8.210218,1.128843,11.716377,73.834686,18.63194,9.669537,10.430974,40.638181,13.185808,4.356268,1.726066,68.277407,43.349547
KCNG1,0,0.302274,0,0.111053,0,0,0,0.389512,0.424405,0,0.27002,0,0.356596,0,0.143972,0,0,0.099937,1.932826,0.290441,0,0,0.10989
KCNG4,0.664478,1.362599,0.396864,0.415918,1.686538,0.404972,0.427325,1.570065,0.515962,0.54757,0.286419,0.233818,2.196659,0.554028,2.531621,0.475965,4.488167,0.216897,6.834506,0.469731,2.095717,0.184756,0.932291
KCNH1,0.13759,11.261238,1.16395,8.952411,9.055617,0,0,4.082625,0.655348,1.494197,1.661198,7.246574,1.788769,11.921616,4.245847,0,3.528955,2.221545,0,4.935408,4.588728,0,0
KCNH6,0.889599,0.182634,1.324981,1.292716,1.422692,0,0.495701,1.392274,0,0,6.429657,0.170657,0.237074,1.226665,1.114375,0,1.584755,0.210383,0,0.411235,0.352806,0,0.102563
KCNJ14,17.62921,6.676791,1.31367,0.4146,1.411211,1.633291,1.20748,8.398639,4.155503,45.854767,0.981946,0.927413,18.527464,1.600406,2.233597,1.824324,0.427102,2.779797,1.742237,3.029485,0.648202,0.057441,3.520238
KCNJ15,0.172256,0.583219,0.043428,0.257279,88.143938,0.143577,0.302616,0.079821,0.582949,0.473013,0.963347,0.118207,0.152688,0.340678,0.128518,20.835587,0.086324,0.037221,0.150916,1.780371,0.184343,0,0
KCNJ3,25.092486,11.509343,1.313039,0.159988,0.650377,0.780065,34.328897,25.688423,0.05147,8.615966,0.1216,0.266444,0.139835,0.185939,0.602749,0.226979,0.063826,0.330701,1.012426,0.42111,0.271872,0.109019,0.359011
KCNJ5,2.656435,0.643524,0.267928,0.238276,0.744647,0.995104,2.144318,1.043803,0.673722,0.122029,0.090334,0.483572,0.077192,0.093014,1.9689,0.477293,0.082378,0,0.637306,0.76784,0.886108,0,0.142229
KCNJ6,0.3184,1.228641,0.160646,0.817437,0.720123,0.11961,0.443136,1.884536,0.451084,0.254843,0.360431,0.337086,0.698139,0.612142,1.048745,0.517509,1.426705,0.416461,0.522497,1.584095,0.248578,0,0.095527
