genes,SRR2973300,SRR2973301,SRR2973303,SRR2973306,SRR2973307,SRR2973309,SRR2973312,SRR2973314,SRR2973315,SRR2973316,SRR2973317,SRR2973318,SRR2973319,SRR2973320,SRR2973321,SRR2973322,SRR2973323,SRR2973324,SRR2973325,SRR2973326,SRR2973327,SRR2973329,SRR2973330,SRR2973331,SRR2973332,SRR2973333,SRR2973334,SRR2973335,SRR2973337,SRR2973338,SRR2973339,SRR2973340,SRR2973341,SRR2973342,SRR2973343,SRR2973344,SRR2973346,SRR2973347,SRR2973348,SRR2973349,SRR5023449,SRR5023451,SRR5023452,SRR5023537,SRR5023540,SRR5023543,SRR5023544,SRR5023546,SRR5023547,SRR5023554,SRR5023557
COX5B,405.940457,73.426585,349.183752,69.596241,317.793897,283.736922,442.783036,453.634374,55.131565,390.483803,178.067261,362.075641,219.12569,726.613138,230.229339,306.360724,151.086825,129.849543,167.544752,591.301809,476.704697,12.578375,145.855289,118.263638,303.73371,166.06515,288.231016,628.848556,130.546882,282.644348,129.04646,233.454746,188.527232,304.710016,357.362854,45.637677,341.348122,230.81813,186.892773,319.846872,100.971495,243.504678,1.219311,756.486781,406.646957,131.767363,442.353573,564.228732,656.197724,430.368806,621.420714
COX6A1,974.651944,98.384011,1147.752891,27.108624,1147.861999,1122.516537,608.779524,1038.874272,598.750725,552.424802,1050.955516,976.387756,287.454443,392.12966,979.377685,1409.285756,1543.489057,277.667974,214.635788,1443.270859,1403.199935,966.032427,1103.354566,343.310278,1658.589367,770.603459,638.063143,416.298923,951.268858,558.179709,793.080062,1068.088802,695.652783,819.194091,310.957883,834.271502,584.287737,797.240261,142.061658,799.157038,2.55448,1716.060552,3.263807,1875.049034,944.935771,2497.185264,1128.711578,1681.118822,1164.02483,1380.618053,1822.146941
COX6B1,215.453311,43.661792,270.32914,141.148817,213.609864,321.030185,239.412567,466.200818,0,669.997748,784.38015,252.328623,239.282384,385.41439,313.766982,256.689544,588.336693,393.527576,81.081706,832.021465,295.833183,186.671624,230.551955,71.303313,970.41855,101.434702,211.48708,707.333858,68.466268,299.071221,320.513608,431.814183,462.609764,419.145054,162.947431,321.176396,156.643443,490.069943,118.083503,153.859124,1.534232,75.207079,1.523701,1022.020511,1324.121058,1833.434326,1884.113216,1215.205105,1170.619673,1868.371628,1637.349024
COX6B2,75.405174,0,4.461316,0.775326,3.25649,7.771967,1.136171,0.319155,0.445843,0,1.33176,0,1.803519,0.612693,3.618907,2.44847,3.696816,6.90381,4.258938,1.650898,15.410558,0.543052,0,2.148658,3.698807,0,9.341575,3.594533,1.500099,0.362868,1.821712,0.230022,1.64589,0.727527,0,0.972027,0,3.98361,2.462014,0.366602,0.603294,20.523412,0.131958,1.19819,0.868286,0,0,0.015092,0,0,0.163753
COX6C,1386.684785,288.075481,585.081524,1.882758,984.619593,902.435766,813.778701,1381.918796,219.965376,1164.043539,810.969089,2021.028125,1133.074049,576.40226,1526.161546,1090.904948,396.750198,153.979765,188.25352,1236.354933,587.489292,128.544596,1180.27405,158.647151,1500.552873,479.876477,260.046516,1414.738949,449.693274,834.521946,715.478538,342.407646,1070.096549,996.957433,558.033167,364.77999,1557.964298,61.665413,525.780194,1461.075084,258.293201,5.772694,73.718883,1945.092787,1779.372936,3747.315161,1232.107495,1942.228472,1775.09729,2599.000462,3216.199818
COX7A2,590.235998,336.063445,536.765014,5.660327,500.895257,419.688567,895.540195,634.072191,508.600828,573.045547,732.77939,508.065179,685.886769,410.385342,855.505402,717.349418,194.433202,156.320724,105.838643,1262.922024,1222.831832,339.859152,536.933802,377.647045,1241.236651,24.252302,257.584438,1312.833215,96.70618,614.31752,625.588146,1101.341513,481.758115,921.495327,689.730553,213.286755,770.263314,492.12545,77.161873,1162.620836,21.900207,273.133347,268.438612,945.832892,430.915469,616.93557,799.464684,1256.500706,157.946826,737.18056,879.398583
COX7A2L,174.557248,0.551743,207.042208,48.802049,157.457594,436.81399,996.63728,496.942204,307.926036,501.193731,339.130356,989.866451,339.398202,110.44922,587.678751,204.284233,73.151506,20.219552,166.861815,312.027388,536.359563,191.625534,221.084143,322.030052,399.499511,3.501609,668.903884,558.16844,1.856086,237.33758,2.274502,342.337285,184.409601,294.216095,258.507578,1.25429,402.469018,10.424344,0.51842,969.834529,0.337121,0.334389,116.100357,274.620461,166.039565,0,292.684332,159.007947,185.309375,158.635603,481.419322
COX7B,57.310436,67.76064,143.710175,1.585613,133.026258,39.317207,65.496092,65.190335,1.025751,119.995124,113.402149,107.995665,65.022342,107.976145,51.318759,97.157655,19.561798,165.43279,19.137131,99.763656,190.735753,5.970647,16.520467,86.040737,188.301507,78.323794,29.351899,106.943204,34.066914,98.935807,0.384272,42.434641,109.033871,75.975421,74.593448,40.525479,152.058295,3.212698,80.563576,116.703042,1.672354,0.50902,0.999773,185.557872,252.147702,198.382637,385.837172,230.302005,149.020011,270.374393,389.216843
COX7C,338.414438,9.517948,198.181445,11.734292,414.331229,227.352967,269.528568,208.54265,24.589963,259.960303,241.785742,348.023911,147.671948,449.37991,524.420474,201.515703,15.255768,57.386711,31.25452,276.440222,448.672809,49.154964,193.489216,7.182489,263.260589,14.382469,57.335747,337.962285,233.237112,431.386561,235.504618,179.153455,64.921137,56.41713,98.421972,25.630698,19.803649,109.406512,41.010568,159.743124,1.422333,4.015962,67.186811,823.460902,652.789663,416.351547,779.196458,605.572878,734.3762,623.499692,1119.774429
COX8A,285.534163,35.905612,127.794157,44.346793,70.116407,137.022496,77.419781,48.446328,0,85.897095,193.065085,413.279301,147.118984,255.777968,186.674924,443.473815,2.227179,265.475817,61.047959,416.488877,464.932661,60.693855,176.0054,0,239.068246,236.433522,664.755306,399.428685,206.870858,69.047536,546.141342,203.829335,73.456206,99.012337,132.356852,0,184.670721,45.523199,86.003959,391.240984,1.00194,4.347111,71.828512,762.855519,392.71642,154.945558,742.204331,474.16739,328.710983,617.808472,423.898135
CP,0,139.019261,0.178805,0.87209,1.635068,495.991842,1.188644,0,6.224658,7.28931,2.291313,36.605986,273.344401,1.524049,219.777252,3.190754,173.014805,222.571817,2.420944,65.04365,174.193463,9.71112,201.005668,110.963207,0.386314,535.705725,0,57.07488,0,16.756634,232.596476,220.034112,12.862503,16.570591,0,81.895773,393.150116,0,11.130037,56.188899,61.403351,58.085732,1.271109,0,75.32477,0.158061,121.305192,193.375049,152.445823,53.446925,451.176325
CPA4,0,0.286401,0.560219,0.188855,1.835987,0.307871,0,0,5.842917,0.189215,0.201903,0,1.022787,0,0.494431,0.691169,0,0,0,0.250378,0,1.070676,0.70993,0.3453,0.47448,0,0,0,0.529349,0.893453,0,0.172832,0.323788,4.822045,0.482822,1.337793,0.382943,0.414829,1.131294,1.175748,0,0,0,0,0,0.112982,0.257178,0,0.000704,0.338434,0.023162
CPAMD8,2.706894,0,3.349055,0.926712,4.733177,0,3.617028,0.184104,10.639283,0.919649,20.436212,0,8.646864,9.865463,1.063974,9.591262,2.124069,39.584097,0.977428,10.559194,6.137924,4.97699,48.019228,8.286342,8.113022,13.917828,0.158697,11.805747,1.953273,4.481953,60.633346,2.353779,2.170838,3.442715,13.10001,10.422789,4.229699,0.457874,8.259413,1.191614,2.984704,0.23982,4.677017,0,0.358019,3.908963,2.962462,0.077672,5.818294,1.599491,10.785
CPB1,0,0,0,0,0.102814,0.307612,0,0,0,0,0.107532,0,0,0,0,1.256316,169.741823,2.204908,0,0,0,2.005271,1.256927,0.167822,0,1.155821,0,0,0.374617,2.31826,0,0,0,2.320416,0,3.022924,0,0,0,0,0,0,0,0,0.140571,1.145283,0.605198,0.730833,0.839414,1.517914,0.154048
CPD,52.120647,9.631093,13.942334,44.070361,47.909915,10.626013,181.614799,18.288112,458.578177,53.772686,157.648038,1.096488,23.809705,97.432798,26.900278,88.784373,117.209359,76.890586,28.131391,53.657126,154.762879,26.519994,80.551578,15.538263,35.833833,49.842746,7.353316,128.802303,9.054657,7.953189,43.906577,36.252984,160.105357,18.119419,36.037787,253.792755,39.935197,262.192741,489.876547,47.893484,12.396679,27.173697,10.08018,0,0.17334,0,6.662743,0.102428,0.054195,6.971446,0
CPE,82.643174,39.353538,15.413219,38.55102,199.336865,52.806127,302.67163,189.510235,12.244553,75.108521,174.222415,12.243432,87.655869,387.695482,120.938113,46.478132,17.044504,63.431615,25.137223,141.869035,434.324528,19.834653,102.457765,14.224853,128.468364,77.080226,15.74904,28.513329,87.16737,14.173335,30.386652,49.374004,86.376991,100.584612,96.252382,70.210519,27.044557,44.499083,98.550478,92.969827,0.134114,496.179943,39.864192,1314.989801,85.998109,750.508571,13.624483,103.192811,15.91321,38.971426,6.902184
CPEB1,0.189583,0,0,0,0.333254,1.147763,0.337897,0.291647,11.267091,0.383491,0.680746,0.984784,2.460748,6.760514,6.265338,1.213001,0,9.91061,0.48659,6.368999,0,1.794264,2.763937,0.430368,3.304057,0.1619,0,0,19.12854,0.956647,1.057311,0.705817,0,0,0,0.40105,0.760147,0,0,0.332781,0.430473,1.189465,0,0.384321,3.440944,0.101579,1.587294,0.086024,2.130374,0.605516,0.075869
CPEB2,112.445369,323.87329,33.538135,1.929373,83.447025,79.07951,28.671174,20.173593,0,21.793767,0.507558,11.73047,34.113991,3.99655,1.286847,28.496053,2.385397,3.674143,0.081087,32.193977,16.430454,0,0.086083,15.601355,0,1.164538,12.018493,58.817122,12.914781,39.922354,23.673956,1.396599,21.205265,14.482155,24.461012,5.055824,155.870499,0,0,19.836198,2.97957,0,0.030132,31.627591,0,0.196863,0,0,0,0,0
CPEB3,23.332027,0,0,0.072888,0,5.40316,23.276578,0.46101,1.68971,0,0.211318,3.393926,2.00084,0.108108,0.058416,37.321448,0,2.300731,11.694749,3.858871,0,0.227224,3.514905,28.169779,0.807618,0,0.277919,0.318899,0,1.083983,7.79662,8.318563,0,12.765097,0.160975,4.993701,25.576218,0,0,0.531651,16.452041,5.031379,0,0,0,0,0,0,0.28421,0,0
CPEB4,6.041796,4.539258,278.218971,9.473636,68.672833,49.764843,0.693889,38.696235,160.373145,51.291542,79.377038,59.847074,3.242138,25.772328,96.952744,34.147999,28.737674,9.334534,57.860563,41.114435,84.337325,7.336161,23.454184,5.064116,12.098724,1.023686,8.629636,24.739519,24.933262,0.645956,259.359758,48.662999,31.077766,9.584548,91.775263,2.249589,4.450033,41.326428,80.707817,1.625732,0.871488,1.057902,0,2.819544,0.423821,37.637399,56.00611,38.139075,74.07219,3.47687,133.43909
CPLANE1,3.557015,5.410136,1.537169,1.910072,6.017783,2.074081,1.121907,1.096482,0.26478,3.014094,2.301465,0,2.452767,8.712073,1.009112,1.699065,0.439892,2.392855,2.420944,3.081151,0.609976,55.275709,2.098514,1.339358,0.082683,4.376036,1.264742,8.462579,4.101656,1.893284,0.127834,6.59636,0.617104,22.959718,2.665378,6.51144,4.024379,1.102478,1.191176,0.931077,3.354125,3.200805,1.476161,0.040773,0.714226,0.306415,0.440271,1.620134,1.000024,0.976577,0.36235
CPM,96.398572,7.510803,8.979964,0.922781,12.582519,228.96902,5.814409,24.234557,5.051788,3.109817,28.44551,0.119208,32.325748,11.614032,26.132915,17.012257,11.225683,1.969007,40.302142,4.675156,0,82.962395,16.902377,69.34897,2.564307,4.105745,6.972782,1.960296,2.22832,7.078192,156.736586,23.535898,7.667406,2.005566,1.475752,7.825634,1.780686,2.742566,15.640759,1.779332,6.243525,1.112446,9.374679,0,1.17234,3.25841,0,0,0.158889,5.880152,0.086737
CPNE1,737.651598,2509.911754,590.011212,192.713519,151.435397,650.70679,1032.68986,403.727024,1.642623,910.615916,310.015109,321.138009,283.894434,627.039608,12.986486,475.977827,45.470802,4.239443,469.704324,556.602348,214.980791,354.735447,475.763678,1847.592322,641.316439,1165.311944,219.977033,280.100463,29.528803,373.045827,825.551753,62.314049,448.895792,383.645797,63.341021,1553.475894,30.645277,16.679681,726.893201,91.723674,158.702125,368.947963,0,0.632762,117.03484,0,28.677889,102.815225,191.080833,17.346914,116.473009
CPNE2,27.913019,0.771951,15.761187,0,0.478044,67.490912,45.049947,0.149832,309.125932,8.695247,7.005799,0.762372,3.949663,51.010539,1.441608,2.186517,3.763162,6.183873,0,22.083901,29.330979,0.86032,150.426818,0,39.260616,2.719274,6.002312,0,4.107415,1.431283,1.441417,2.547189,4.370047,0,26.898612,0,15.645145,25.384126,5.023819,1.884165,0,0.567515,0,0,0.265962,19.415557,0.064355,1.368175,0,0,0
CPNE3,90.90852,39.977331,141.342715,12.782099,192.014618,92.492422,426.066444,29.050842,20.897429,87.108534,126.473353,257.972084,401.616768,0.109095,92.062218,41.431762,299.846917,64.107559,152.058445,128.915685,33.986144,1.363592,234.243505,41.454689,228.399063,3.842944,35.955927,106.351612,180.772724,160.488689,28.924564,108.567094,83.342816,253.473134,405.334952,7.425448,168.816949,33.264584,2.665309,374.721345,16.946572,12.02857,2.418865,191.100683,218.328595,129.912077,9.102444,85.953066,48.971517,55.238147,65.833597
CPPED1,1.05116,2.12468,4.168782,3.803586,1.547035,0.247105,0.418942,0.079511,0.623797,1.43396,0.440591,2.876612,0.336504,0.221552,3.228906,2.735431,0.583933,0.454963,0.095589,1.882675,14.255114,4.757435,2.763936,1.338787,1.280626,0.378776,0.470316,13.554771,0.221386,0.606861,0.794684,0.411901,14.70403,0.302824,1.506583,2.548086,1.315481,0.225764,1.271906,0.189164,0.672204,0.713559,0.622463,0,2.549112,0.094939,16.518621,3.52719,4.864915,13.980027,5.736961
CPQ,11.123893,16.838767,29.219312,1.118517,3.974097,4.42138,2.9821,6.210505,0.554711,1.901397,4.198043,14.198973,0,17.220644,14.690643,6.292524,14.683973,51.25778,27.414428,4.053369,1.168296,4.01788,46.231972,0,3.075031,47.084156,9.274019,0,5.596109,0.738296,32.52062,16.571799,16.948347,6.225407,28.913562,11.467447,2.94706,23.648293,15.988655,0,3.529851,2.775416,1.020203,159.618483,90.635367,184.76206,15.235659,7.143405,1.114557,36.311973,14.297958
CPS1,0.075779,0,0.162247,0,0,0,0.181168,0,0.119734,0,0.386416,0.080397,0,0,0.225322,0,0.079278,0,0.144066,0,0.368077,0,0.663007,0,0.196338,2.831707,1.05516,0.342709,0,0,0.125357,1.370251,0.154733,0,0.438121,0,1.079801,0.322917,0.079007,0.085415,0,0.04879,0,0,0,0,0.157527,0,0,0,0
CPSF1,240.679763,51.088212,46.948157,0,0,241.055772,6.652102,0,68.147655,82.570614,177.776288,30.371487,4.068053,7.724634,2.124145,78.722817,667.16527,222.89678,126.44368,7.508532,4.995332,2.010277,25.470961,763.87659,7.523458,3.862753,55.462444,565.709794,0,0,68.869925,140.662819,4.92378,0,3.826216,8.003636,245.52359,0,0,0,0,0,0,188.740923,10.962603,0,24.617778,7.932142,3.216238,0,85.10209
CPSF2,2.553296,0.094044,2.966626,1.137416,4.460483,8.996189,0.492613,0.454638,4.559415,1.419357,73.277194,6.822748,1.478155,52.595576,16.825773,45.860293,16.91844,25.140649,7.779222,19.95432,53.418589,1.658355,4.509163,2.305296,4.402057,3.010952,44.392198,9.708106,30.821376,10.061543,8.768542,82.292615,13.51367,22.60404,7.855471,7.720544,0.846425,0.416266,13.752366,6.523861,1.462821,1.140057,0.047269,0.137039,12.19147,5.301726,34.203745,17.754347,22.355486,8.179486,62.961691
CPSF3,43.958788,33.524784,204.954701,121.440431,126.536848,18.551106,17.498946,114.041079,0,26.78812,5.226481,15.102491,0.823053,14.76467,13.632378,144.039935,0,3.383216,15.09941,38.1294,106.179248,63.552563,31.099784,278.230798,0.869112,1.545707,0,115.472374,222.565467,1.05676,15.814944,18.400531,7.443301,58.431913,45.562365,0,5.173633,70.079727,9.990577,78.307652,0,25.074739,0,40.987388,2.123648,314.596367,1.768996,25.472603,1.482998,83.636329,62.12578
CPSF4,0,32.834993,0,0,10.012972,7.815568,1.141006,0,39.413722,0,0,0,13.906263,0,1.70086,123.156358,3.584771,0,5.061762,0,4.893177,31.150657,2.101497,0,3.48823,0,6.335004,0,0,113.368032,7.710122,0,51.389,0,107.441723,265.648028,42.235079,16.106302,8.967263,33.367502,20.480463,0,27.566033,81.507925,0,0,0,0,0,0,0.194011
CPSF6,6.58527,2.023269,50.209573,0,71.755986,2.70493,35.733811,11.706094,0.468431,6.737302,20.251134,2.170151,2.000544,64.381321,90.102571,12.481093,5.807581,17.807754,6.642425,16.894196,8.543169,0.494262,10.940397,16.65015,12.967259,58.264596,0.329132,1.898499,0.056105,1.267922,1.703289,1.065676,33.009802,0.31024,4.605048,0.282361,1.769967,6.124722,63.514346,7.941616,3.711399,0.488766,0.618602,0,10.920383,0.156307,44.844231,16.578792,0,43.406082,170.792359
CPSF7,2.372076,0,74.70528,0,0,12.158053,1.277002,1.02036,2.789987,21.63674,24.776125,0,0,0.123654,0,6.585862,31.861033,12.470806,1.041423,0.449085,1.126163,17.691286,83.439837,60.087885,52.460356,0,16.467708,2.47048,37.436632,0.568617,0.22232,0,0.128906,5.843153,2.177823,1.934223,11.225954,0,3.502351,0,0,139.643233,0,0,2.224663,0.085507,0.060808,2.336592,0,0.564879,6.968162
CPT1A,1.054578,8.088016,17.519006,6.164911,4.036326,9.338143,13.136392,13.717097,2.280957,23.536255,3.829691,10.327192,2.732604,11.537792,12.728636,43.3833,58.31309,7.95612,7.934578,22.54839,16.972332,1.42853,29.456022,7.392978,35.345066,16.705281,8.946199,41.505541,1.491683,8.149555,18.432407,0.2886,12.237268,1.398829,3.608528,2.080681,2.432989,5.60714,0.146342,1.848603,0.188877,0.8089,2.371933,10.665919,1.043993,11.858781,5.440722,2.579367,1.571182,5.621471,9.637133
CPT1C,12.192403,0.749344,0.278544,5.050346,3.739222,8.907514,0.88598,0,4.189492,37.257022,1.752093,1.878821,4.285283,1.39802,0.910042,4.360457,3.673451,5.33728,4.218221,9.661544,0.841089,1.321878,11.944376,12.569454,3.114078,6.186906,5.690801,2.706652,4.298799,1.03159,4.372309,0.792512,10.12742,6.692512,6.385323,10.055463,20.18433,11.791077,11.027965,0.668939,2.522571,7.016047,0.641326,0.469582,1.506162,0.372888,1.703682,0.361966,0.3964,2.68523,0
CPT2,16.155579,25.767213,26.057457,0.529909,2.544155,1.130901,3.391921,2.249427,0.673686,0.227342,5.700387,0.094615,5.453441,3.398657,7.524618,4.189075,3.088595,3.929995,5.958137,12.653219,5.594081,12.273963,4.294803,5.588619,1.563075,0,31.873144,1.654059,4.290021,2.23664,4.62488,0,4.174284,2.579868,15.435577,0.731653,0,0.107872,1.123055,1.317346,0.636724,0.275942,0,6.919104,3.392437,0,25.449702,4.93122,0,2.074406,3.866226
CR1,0.168281,0.870799,3.428812,0,0.241732,2.170709,0.143171,0.109698,0.222969,4.788481,0.121683,0,0,0.156642,2.14446,3.27303,0,0,1.13921,0.051144,0.471238,5.460436,0.785978,14.384624,0.067154,0.088893,0.21684,2.770524,0.356961,7.24419,0,0.149235,1.136735,0.190078,0.114628,1.366123,0.262881,0.77223,1.298357,0,2.119511,0.03318,0.453753,0.119181,0.025474,0,0.258287,0.030749,13.673107,0,0
CRABP2,220.768889,0.847886,133.904318,11.048623,178.650626,78.143833,668.402017,313.579508,21.625913,361.450771,138.757526,357.192687,312.31693,289.872816,68.702168,193.600184,3.804887,105.30914,246.430215,212.361558,115.495667,16.887178,85.186236,131.765768,374.902513,64.413046,339.171768,196.188824,136.504525,355.634808,155.817585,368.054383,700.513093,106.90623,85.862824,43.466213,230.595224,29.151471,63.197386,793.199716,50.191157,327.189049,270.737664,12.44906,9.931937,10.950643,235.539278,3.944736,80.085351,0.497963,29.452711
CRACR2A,2.442207,23.760653,0,0.498919,1.57113,0.095278,1.232766,1.691194,1.76234,0.413898,7.828368,0,34.504184,0,113.2685,2.178268,58.605703,1.876846,4.012843,0,5.100312,0.372067,1.040017,0,21.234895,4.558656,7.335066,1.338047,1.441535,0.917412,0.864123,0,0,1.755402,17.450824,6.196525,96.109045,0.392553,0.813667,1.26521,0,0.065327,23.105119,12.787538,9.263731,0.03442,0,17.743524,0.01845,0.026336,17.739742
CRACR2B,73.775118,0,14.730799,0,0,2.530641,0,0,0,0,1.914708,0,14.003811,9.144303,0,1.493447,23.364756,2.622337,185.277779,33.546432,0,0,19.347557,10.908516,1.266745,38.468851,0,38.588513,2.072377,6.547612,0,8.221508,4.370817,10.540717,3.763233,0,12.470287,0,0,0,0,0,1.171103,0,0,0,8.15309,16.537842,29.020122,42.846313,21.231196
CRB1,0.123324,0,0.051097,0,0.07451,0.056135,0,0,0,0,0,0,0.090639,0,0,0,0,7.478147,0.305303,0,0,0.177084,0.054447,0,0.057664,3.842943,0,0,0.045401,0.047312,0,0,0,0,0,0.284719,0.036607,0,0.038098,0.072949,0.167042,0.615154,0.086252,0.019884,0.074051,0.023331,0,0,0.01427,0.039912,0.018322
CRBN,91.655754,14.159888,148.912078,3.858747,87.522654,248.965447,6.105992,47.990503,5.069132,102.009784,35.255253,8.41777,1.297858,2.112214,73.996329,15.613863,13.380738,4.510015,206.518088,5.098136,1.201996,37.880515,23.116742,85.392939,45.439423,6.380572,4.187999,114.589932,90.693687,3.356369,47.116112,77.719206,55.430519,386.623314,6.12486,34.839306,18.756575,1.867543,1.591716,12.487667,49.90811,2.174687,6.743124,67.355397,51.2769,0.032119,0.448395,0,0.532594,19.886545,17.893983
CRCP,208.571412,0.516852,23.679549,0.993125,5.222339,56.834291,7.101566,0.310746,2.73348,1.838775,78.05287,0,108.01474,2.71648,123.116541,37.007352,2.160561,1.700227,80.593277,118.145382,37.306356,2.990555,44.209871,46.597376,19.840599,143.066801,80.092766,76.232209,12.93626,2.762472,4.988576,11.392303,145.085752,32.400051,10.115763,0.681151,18.148965,0.247909,0.940973,25.637493,8.578832,0.390568,0.766784,0.312524,83.388488,0,0,4.305508,4.598292,0.184439,2.805615
CREB1,223.238382,54.01561,3.255943,1.463677,16.58789,52.723455,26.875384,250.525365,11.778531,199.135907,67.604701,0.489171,0.049979,0.42499,283.855204,59.821488,0.709958,7.000275,17.921285,81.248305,28.708633,87.867291,75.446212,989.618266,122.951271,3.896295,6.15917,92.04471,0.069949,26.161956,281.262456,46.33029,202.03516,56.169613,418.690623,385.37989,22.269145,10.028818,19.973709,29.489044,43.544723,0.468037,86.861538,33.643423,148.86282,318.428588,23.379276,56.132847,0,44.791327,80.92776
CREB3,4.021696,23.599669,0,0,0,38.240154,0,0.331695,1.122393,69.074872,50.399354,74.443133,208.953868,0.556677,0,0,0,1.755351,8.620421,1.825756,62.310511,0,56.505431,37.494094,0,0,0,32.105817,16.788549,2.157269,22.04826,9.288973,127.074497,311.556379,2.30758,0,0.361637,0,9.354647,1.660722,0,0,0,0.183932,7.961473,0,17.633176,3.670506,8.704288,25.931088,0.162191
CREB3L1,13.34663,1.352373,2.629461,8.788126,52.039664,4.83177,0,20.477856,93.657554,19.473869,5.944957,5.883695,4.416588,2.800542,29.768094,0,64.349358,10.009477,6.515885,20.495408,4.052452,2.197941,58.401893,152.985283,22.792409,4.373459,0,23.143638,28.93682,4.321311,0,1.021797,0,5.279111,18.650614,9.380166,1.189543,8.570284,7.034499,22.085168,0.226902,20.957681,0,0,0.668375,0.685646,0,0,0.786248,2.29513,0
CREB3L2,22.363344,76.829009,34.953293,2.315923,4.201682,10.905221,46.13524,1.76959,2.331763,6.015511,20.937468,4.460555,6.171259,24.834764,25.352021,20.738165,3.807518,44.064269,5.655332,5.710396,31.99785,41.881495,42.199526,6.768119,10.640848,297.192533,1.841765,47.992248,24.157039,43.276419,2.490541,86.283855,7.722599,15.844031,38.857984,24.216126,55.675816,9.83669,5.465121,80.222163,7.43947,10.797345,0,11.967865,6.235387,35.808504,4.017357,0.164323,10.659505,11.544283,0
CREB3L4,88.701151,4.885179,0.874194,0,159.735537,14.824932,36.996286,26.238807,0,26.775262,89.402025,58.331815,11.516242,237.957742,10.204201,4.586214,14.23723,4.696641,17.111248,82.066255,214.948323,47.589693,2.607624,1.440679,61.703232,34.232518,6.830867,126.286795,78.199823,122.742109,294.652802,221.321203,38.647689,363.030567,18.506232,360.701303,263.229994,0,0,69.077566,4.290389,1.594795,0,0,0,0.932982,325.157653,40.043057,1.002937,21.791156,41.411649
CREB5,146.206893,1.478421,2.948042,0.599388,6.297244,0,23.115099,13.243608,0.075679,0,26.425958,3.069433,8.760148,0,79.135875,0.150794,0.042589,16.219403,0.461989,18.524341,5.370083,17.739332,124.7161,131.970812,5.915115,0.14869,16.506981,0.055273,0.051047,0.426277,15.608507,0.158036,141.580172,0.307793,0.195881,2.50703,0.265905,0.065156,8.053545,95.78201,1.802686,0.028383,0,1.45856,0.052218,0.073752,0.119595,0,0,0,0
CREBBP,14.621534,35.638143,9.656362,31.834662,17.105406,96.610139,28.219227,114.655793,2.749887,13.356512,16.664371,28.949389,57.511629,17.307993,16.168377,28.158766,10.620344,319.34713,49.972463,24.363372,28.290352,115.432118,23.112705,112.859933,68.349806,6.868303,67.115085,145.242496,69.814933,23.787645,98.806012,42.773663,78.953126,36.748105,122.541219,14.478725,82.346664,9.383702,8.158145,14.398869,72.248777,275.302408,1.216312,0.946775,1.548444,0.035308,1.314843,0.069946,0.020204,0.398739,9.391831
CREBRF,1.348361,26.81868,192.54329,0.183098,1.750764,10.436939,18.868837,2.168701,0.273946,2.68764,1.750493,0,35.6423,5.29545,6.703892,3.499846,10.738998,26.102412,3.368445,9.634187,13.101611,2.909349,12.404003,4.819348,9.115574,0,3.388048,0.138017,29.345171,2.767914,71.863081,123.191479,0.151116,123.786258,5.64243,8.81738,9.498571,6.641894,26.661774,0.84467,0.128573,0.269423,8.022365,114.736046,2.902315,0.156704,1.459236,0.02186,2.48203,7.494051,0.033097
CREBZF,0.477877,1.15168,0.53694,5.520963,0.184887,0,12.593462,0,0,0,0.1071,23.268621,38.45206,0,13.963963,26.323326,0.170396,2.575719,1.745827,3.414376,0,17.703012,0.524721,0,1.86458,0.236815,10.682957,7.863226,0.625751,20.944492,4.79072,0.078751,0.609318,47.779968,1.084079,0.111426,22.398515,0.580224,0.211918,13.640208,0.589316,0,0.047964,0,0.32327,16.143477,22.964947,0.746726,21.835867,5.659688,0
CREG1,0,0.266429,1.100772,0,4.185751,10.40109,13.339161,4.249773,0,0,104.089472,11.599379,3.468899,50.348544,0,0.62647,0.249583,0.34962,0.334219,9.302437,6.448513,7.798848,10.931711,62.17605,2.960142,0.411557,0,8.893421,0,0,17.417268,1.595292,20.982519,7.725239,8.000888,0,0,0.254845,0,21.150109,0,0,0,49.793722,16.449704,17.116115,20.383108,19.086269,4.918278,13.112545,0.452498
CREG2,0.168055,0.057774,3.622593,0,0.766686,2.563598,0.049848,3.793375,1.302989,1.61069,10.338974,0,1.547998,1.832385,9.463484,2.095093,4.355341,0.452649,1.081073,2.094517,0.054649,1.626091,1.892021,15.071185,0.555521,0,1.801272,2.906699,0.901376,1.931105,10.951721,0.88152,0.302034,4.317256,0,5.676317,0,1.037621,18.312727,0.772244,4.879648,1.131003,0.023758,0.194565,2.562339,0,0,0,0.020565,0,0.199198
CRELD2,3.443812,103.952468,2.403652,0.743679,0,19.764378,1.978424,1.252812,4.247991,0,3.130906,0.726281,114.879149,1.126147,2.740794,2.827879,10.909752,0,0,9.13178,71.762121,2.037081,133.846947,2.747228,3.122677,0.652096,15.798867,5.725272,0,0,39.565046,1.883708,35.69721,3.233701,4.493181,3.80665,4.286472,40.340496,50.10118,5.679694,25.258173,4.830166,0,1.543053,0,263.923185,30.202077,0,1.01878,40.250537,9.301387
