Cells,Differentiation,Stemness,S_D,Cell_status,weight,State,Sample_title,individual,sampling_site,count_value,Mean_TPM
SRR7008870,-0.3794768528,-0.1417462123,0.2377306405,Stemness,2,Moderate_Stemness,L2_I2_LUM_D7,individual 2,luminal,7,36.3700371333
SRR7008871,-0.0275082657,-0.2260536184,-0.1985453527,Differentiation,1,Low_Differentiation,L2_I2_LUM_D8,individual 2,luminal,11,20.9980571
SRR7008872,-0.0515723861,-0.0196828039,0.0318895822,Differentiation,3,High_Differentiation,L2_I2_LUM_D9,individual 2,luminal,7,20.249077
SRR7008873,0.0271775398,-0.1525590261,-0.1797365659,Differentiation,1,Low_Differentiation,L2_I2_LUM_D10,individual 2,luminal,14,19.8048479
SRR7008874,-0.3943081971,-0.0662113414,0.3280968557,Stemness,3,High_Stemness,L2_I2_LUM_D11,individual 2,luminal,14,19.0284294
SRR7008875,0.0653487877,-0.2652414236,-0.3305902113,Differentiation,1,Low_Differentiation,L2_I2_LUM_D12,individual 2,luminal,12,12.200095
SRR7008876,-0.0377717786,-0.0498020125,-0.0120302339,Differentiation,3,High_Differentiation,L2_I2_LUM_E1,individual 2,luminal,14,21.79954125
SRR7008877,-0.2795074438,-0.0454885344,0.2340189094,Stemness,2,Moderate_Stemness,L2_I2_LUM_E2,individual 2,luminal,8,1.7384234714
SRR7008878,-0.3243274122,-0.2156163002,0.108711112,Stemness,1,Low_Stemness,L2_I2_LUM_E3,individual 2,luminal,2,0.1097679929
SRR7008879,-0.2014261965,-0.0391827661,0.1622434304,Stemness,2,Moderate_Stemness,L2_I2_LUM_E4,individual 2,luminal,13,13.6062496
SRR7008880,-0.000287727,0.1719675587,0.1722552857,Stemness,2,Moderate_Stemness,L2_I2_LUM_E5,individual 2,luminal,12,3.819275
SRR7008881,-0.3746548005,0.1033490688,0.4780038693,Stemness,3,High_Stemness,L2_I2_LUM_E6,individual 2,luminal,10,15.9190701667
SRR7008882,-0.2910642492,0.0211320247,0.3121962739,Stemness,3,High_Stemness,L2_I2_LUM_E7,individual 2,luminal,11,1.52287915
SRR7008883,-0.2717301074,-0.1984226176,0.0733074898,Stemness,1,Low_Stemness,L2_I2_LUM_E8,individual 2,luminal,12,3.8331578429
SRR7008884,-0.4053433779,-0.0807461414,0.3245972365,Stemness,3,High_Stemness,L2_I2_LUM_E9,individual 2,luminal,12,26.6056536
SRR7008885,-0.2555693334,-0.0656408573,0.1899284761,Stemness,2,Moderate_Stemness,L2_I2_LUM_E10,individual 2,luminal,11,30.5647173
SRR7008886,0.0703883495,0.0642410427,-0.0061473068,Differentiation,3,High_Differentiation,L2_I2_LUM_E11,individual 2,luminal,11,17.16530045
SRR7008887,-0.1062724648,-0.1399522845,-0.0336798197,Differentiation,2,Moderate_Differentiation,L2_I2_LUM_E12,individual 2,luminal,9,11.3233861
SRR7008888,-0.2994771082,-0.1704431841,0.1290339241,Stemness,1,Low_Stemness,L2_I2_LUM_F2,individual 2,luminal,13,11.88830625
SRR7008889,-0.1015520694,0.0743177464,0.1758698158,Stemness,2,Moderate_Stemness,L2_I2_LUM_F4,individual 2,luminal,14,14.22250025
SRR7008890,0.1573642546,-0.2501357885,-0.4075000431,Differentiation,1,Low_Differentiation,L2_I2_LUM_F5,individual 2,luminal,13,17.542085475
SRR7008891,-0.1423083731,0.0021763475,0.1444847206,Stemness,1,Low_Stemness,L2_I2_LUM_F6,individual 2,luminal,9,1.7655483643
SRR7008892,-0.1397597923,0.0228376759,0.1625974682,Stemness,2,Moderate_Stemness,L2_I2_LUM_F8,individual 2,luminal,9,2.4842007357
SRR7008893,-0.4599267962,0.1884481999,0.6483749961,Stemness,3,High_Stemness,L2_I2_LUM_F10,individual 2,luminal,11,18.1876204
SRR7008894,-0.0025976583,0.0660376604,0.0686353187,Stemness,1,Low_Stemness,L2_I2_LUM_F11,individual 2,luminal,11,11.0771219333
SRR7008895,-0.3805347944,-0.1053002843,0.2752345101,Stemness,3,High_Stemness,L2_I2_LUM_F12,individual 2,luminal,13,32.4642025
SRR7008896,-0.3143541641,-0.2242828562,0.0900713079,Stemness,1,Low_Stemness,L2_I2_LUM_G1,individual 2,luminal,12,21.13558
SRR7008897,0.0159930239,0.1835788403,0.1675858164,Stemness,2,Moderate_Stemness,L2_I2_LUM_G2,individual 2,luminal,13,12.37689315
SRR7008898,-0.1754799954,-0.0464160387,0.1290639567,Stemness,1,Low_Stemness,L2_I2_LUM_G4,individual 2,luminal,13,28.3562747833
SRR7008899,0.0895256831,0.0585183082,-0.0310073749,Differentiation,2,Moderate_Differentiation,L2_I2_LUM_G5,individual 2,luminal,11,14.39048725
SRR7008900,-0.1792194935,-0.0268760853,0.1523434082,Stemness,2,Moderate_Stemness,L2_I2_LUM_G6,individual 2,luminal,10,11.0168915
SRR7008901,-0.0707675162,-0.117219351,-0.0464518348,Differentiation,2,Moderate_Differentiation,L2_I2_LUM_G7,individual 2,luminal,13,19.5263166
SRR7008902,-0.1589825321,0.2115981017,0.3705806338,Stemness,3,High_Stemness,L2_I2_LUM_G9,individual 2,luminal,12,45.2651500667
SRR7008903,-0.0856277037,-0.2005408674,-0.1149131637,Differentiation,2,Moderate_Differentiation,L2_I2_LUM_G10,individual 2,luminal,10,1.9279250786
SRR7008904,-0.0183358591,-0.1617545641,-0.143418705,Differentiation,1,Low_Differentiation,L2_I2_LUM_H1,individual 2,luminal,8,17.8338215333
SRR7008905,-0.1682233962,0.1812588454,0.3494822416,Stemness,3,High_Stemness,L2_I2_LUM_H2,individual 2,luminal,11,21.1789908
SRR7008906,-0.2414100573,-0.1992321299,0.0421779274,Differentiation,3,High_Differentiation,L2_I2_LUM_H3,individual 2,luminal,2,0.0478817429
SRR7008907,-0.1141012508,-0.0582218408,0.05587941,Differentiation,3,High_Differentiation,L2_I2_LUM_H4,individual 2,luminal,14,11.59748495
SRR7008908,-0.2990268342,-0.2631813415,0.0358454927,Differentiation,3,High_Differentiation,L2_I2_LUM_H5,individual 2,luminal,7,2.1739088
SRR7008909,-0.0987173303,-0.1706514116,-0.0719340813,Differentiation,2,Moderate_Differentiation,L2_I2_LUM_H6,individual 2,luminal,12,2.2535878929
SRR7008910,-0.2040806363,0.0740551643,0.2781358006,Stemness,3,High_Stemness,L2_I2_LUM_H7,individual 2,luminal,1,146.7099
SRR7008911,-0.2321020576,-0.2551156186,-0.023013561,Differentiation,2,Moderate_Differentiation,L2_I2_LUM_H8,individual 2,luminal,2,0.0875300429
SRR7008912,-0.1841559381,-0.029986668,0.1541692701,Stemness,2,Moderate_Stemness,L2_I2_LUM_H9,individual 2,luminal,2,44.30680665
SRR7008913,-0.2262163494,-0.2122494734,0.013966876,Differentiation,3,High_Differentiation,L2_I2_LUM_H10,individual 2,luminal,14,20.155921275
SRR7008914,-0.4365726553,-0.0946517362,0.3419209191,Stemness,3,High_Stemness,L2_I2_LUM_H11,individual 2,luminal,9,11.9291805
SRR7008915,-0.1129001824,-0.2770264763,-0.1641262939,Differentiation,1,Low_Differentiation,L2_I2_LUM_H12,individual 2,luminal,10,0.9695335286
SRR7010626,0.0598199724,-0.0619452784,-0.1217652508,Differentiation,2,Moderate_Differentiation,L2_I3_LUM_A1,individual 3,luminal,12,14.0525779
SRR7010627,-0.0090950636,0.2247101462,0.2338052098,Stemness,2,Moderate_Stemness,L2_I3_LUM_A2,individual 3,luminal,13,14.62659105
SRR7010628,-0.2092354269,0.0880156643,0.2972510912,Stemness,3,High_Stemness,L2_I3_LUM_A4,individual 3,luminal,14,18.1928257667
SRR7010629,-0.000637452,0.1765907276,0.1772281796,Stemness,2,Moderate_Stemness,L2_I3_LUM_A5,individual 3,luminal,14,23.5020261667
SRR7010630,0.1211215077,0.0494105117,-0.071710996,Differentiation,2,Moderate_Differentiation,L2_I3_LUM_A6,individual 3,luminal,9,10.645133
SRR7010631,0.0152683521,-0.2722379381,-0.2875062902,Differentiation,1,Low_Differentiation,L2_I3_LUM_A8,individual 3,luminal,13,26.9215682571
SRR7010632,0.0432409203,-0.1285602087,-0.171801129,Differentiation,1,Low_Differentiation,L2_I3_LUM_A9,individual 3,luminal,14,17.05275875
SRR7010633,-0.1489884959,0.1421688877,0.2911573836,Stemness,3,High_Stemness,L2_I3_LUM_A10,individual 3,luminal,9,10.0060185
SRR7010634,-0.0510698082,0.1543389039,0.2054087121,Stemness,2,Moderate_Stemness,L2_I3_LUM_A11,individual 3,luminal,14,31.7387451667
SRR7010635,-0.2668825315,0.0434344435,0.310316975,Stemness,3,High_Stemness,L2_I3_LUM_A12,individual 3,luminal,14,35.615931125
SRR7010636,-0.022163025,-0.1813721011,-0.1592090761,Differentiation,1,Low_Differentiation,L2_I3_LUM_B1,individual 3,luminal,8,0.2354735543
SRR7010637,-0.0328857486,0.0430046277,0.0758903763,Stemness,1,Low_Stemness,L2_I3_LUM_B2,individual 3,luminal,13,23.1744518667
SRR7010638,-0.1288985099,0.1619017773,0.2908002872,Stemness,3,High_Stemness,L2_I3_LUM_B4,individual 3,luminal,14,15.42071485
SRR7010639,-0.1388342897,0.2720964595,0.4109307492,Stemness,3,High_Stemness,L2_I3_LUM_B5,individual 3,luminal,13,13.80835335
SRR7010640,-0.0936546107,0.1025958323,0.196250443,Stemness,2,Moderate_Stemness,L2_I3_LUM_B6,individual 3,luminal,13,14.8703575
SRR7010641,-0.0580328013,0.2980014221,0.3560342234,Stemness,3,High_Stemness,L2_I3_LUM_B7,individual 3,luminal,14,17.4922582333
SRR7010642,-0.1193955779,0.0212801331,0.140675711,Stemness,1,Low_Stemness,L2_I3_LUM_B8,individual 3,luminal,9,14.35441514
SRR7010643,-0.0790033582,0.0983291475,0.1773325057,Stemness,2,Moderate_Stemness,L2_I3_LUM_B9,individual 3,luminal,13,144.2600453
SRR7010644,0.0700584125,0.2224317043,0.1523732918,Stemness,2,Moderate_Stemness,L2_I3_LUM_B10,individual 3,luminal,10,1.2812068286
SRR7010645,-0.1338377204,-0.027610317,0.1062274034,Stemness,1,Low_Stemness,L2_I3_LUM_B11,individual 3,luminal,14,17.49159905
SRR7010646,-0.1449804994,0.0889046664,0.2338851658,Stemness,2,Moderate_Stemness,L2_I3_LUM_B12,individual 3,luminal,14,14.6644265
SRR7010647,-0.0650789766,-0.1876611547,-0.1225821781,Differentiation,2,Moderate_Differentiation,L2_I3_LUM_C1,individual 3,luminal,12,25.60515415
SRR7010648,-0.047358806,-0.0605099142,-0.0131511082,Differentiation,2,Moderate_Differentiation,L2_I3_LUM_C2,individual 3,luminal,14,18.0392050333
SRR7010649,-0.0621343667,-0.0411995488,0.0209348179,Differentiation,3,High_Differentiation,L2_I3_LUM_C3,individual 3,luminal,11,46.7155463
SRR7010650,-0.0730789612,0.0707084697,0.1437874309,Stemness,1,Low_Stemness,L2_I3_LUM_C4,individual 3,luminal,12,10.7190436
SRR7010651,0.0214709037,-0.0264518424,-0.0479227461,Differentiation,2,Moderate_Differentiation,L2_I3_LUM_C5,individual 3,luminal,14,28.290091
SRR7010652,-0.2351368437,0.1082203604,0.3433572041,Stemness,3,High_Stemness,L2_I3_LUM_C6,individual 3,luminal,12,2.5113909714
SRR7010653,-0.2989589416,-0.0577100561,0.2412488855,Stemness,3,High_Stemness,L2_I3_LUM_C7,individual 3,luminal,12,3.1121493571
SRR7010654,-0.0517643326,-0.0200560842,0.0317082484,Differentiation,3,High_Differentiation,L2_I3_LUM_C8,individual 3,luminal,13,41.96368236
SRR7010655,0.1609306669,0.1549868686,-0.0059437983,Differentiation,3,High_Differentiation,L2_I3_LUM_C9,individual 3,luminal,14,326.5722162
SRR7010656,-0.099716159,-0.1216403286,-0.0219241696,Differentiation,2,Moderate_Differentiation,L2_I3_LUM_C10,individual 3,luminal,14,13.6332541
SRR7010657,0.0034380944,0.0235061191,0.0200680247,Differentiation,3,High_Differentiation,L2_I3_LUM_C11,individual 3,luminal,14,26.686475625
SRR7010658,-0.0862964008,0.0988983869,0.1851947877,Stemness,2,Moderate_Stemness,L2_I3_LUM_C12,individual 3,luminal,13,21.5450947
SRR7010659,0.1706021453,0.0283441248,-0.1422580205,Differentiation,1,Low_Differentiation,L2_I3_LUM_D1,individual 3,luminal,14,20.3302205
SRR7010660,-0.1851276582,-0.1720455813,0.0130820769,Differentiation,3,High_Differentiation,L2_I3_LUM_D2,individual 3,luminal,14,28.55514685
SRR7010661,-0.1228398057,0.0236028719,0.1464426776,Stemness,1,Low_Stemness,L2_I3_LUM_D3,individual 3,luminal,12,30.60840054
SRR7010662,-0.2724437729,0.0381783261,0.310622099,Stemness,3,High_Stemness,L2_I3_LUM_D4,individual 3,luminal,12,30.5049918
SRR7010663,-0.1160042134,0.1820576052,0.2980618186,Stemness,3,High_Stemness,L2_I3_LUM_D5,individual 3,luminal,12,2.10184035
SRR7010664,-0.108043859,0.0298896755,0.1379335345,Stemness,1,Low_Stemness,L2_I3_LUM_D6,individual 3,luminal,14,21.071414
SRR7010665,-0.0488904402,0.1016697792,0.1505602194,Stemness,2,Moderate_Stemness,L2_I3_LUM_D7,individual 3,luminal,11,15.5762903
SRR7010666,-0.0023590487,0.1310955187,0.1334545674,Stemness,1,Low_Stemness,L2_I3_LUM_D8,individual 3,luminal,14,2.4136508457
SRR7010667,-0.2052352228,0.1472597305,0.3524949533,Stemness,3,High_Stemness,L2_I3_LUM_D10,individual 3,luminal,13,2.6640706886
SRR7010668,-0.1003306455,0.2909520017,0.3912826472,Stemness,3,High_Stemness,L2_I3_LUM_D11,individual 3,luminal,13,27.552838
SRR7010669,0.1196092282,0.0021689096,-0.1174403186,Differentiation,2,Moderate_Differentiation,L2_I3_LUM_D12,individual 3,luminal,13,56.10424835
SRR7010670,0.0180139894,-0.1029905082,-0.1210044976,Differentiation,2,Moderate_Differentiation,L2_I3_LUM_E1,individual 3,luminal,14,40.3457579
SRR7010671,-0.327380791,-0.2685484181,0.0588323729,Differentiation,3,High_Differentiation,L2_I3_LUM_E3,individual 3,luminal,12,52.61666845
SRR7010672,-0.1434348137,0.2439971579,0.3874319716,Stemness,3,High_Stemness,L2_I3_LUM_E4,individual 3,luminal,13,23.47886836
SRR7010673,-0.1252149965,0.1717952211,0.2970102176,Stemness,3,High_Stemness,L2_I3_LUM_E5,individual 3,luminal,7,0.2070511857
SRR7010674,-0.2376490416,0.1253245225,0.3629735641,Stemness,3,High_Stemness,L2_I3_LUM_E7,individual 3,luminal,13,21.38709
SRR7010675,-0.0430062451,0.2641136205,0.3071198656,Stemness,3,High_Stemness,L2_I3_LUM_E9,individual 3,luminal,11,1.9201347786
SRR7010676,-0.0263119611,0.3758807474,0.4021927085,Stemness,3,High_Stemness,L2_I3_LUM_E10,individual 3,luminal,13,30.6135959
SRR7010677,0.0503979733,-0.043322991,-0.0937209643,Differentiation,2,Moderate_Differentiation,L2_I3_LUM_E11,individual 3,luminal,12,10.5924742
SRR7010678,-0.0804831136,-0.0006893636,0.07979375,Stemness,1,Low_Stemness,L2_I3_LUM_F1,individual 3,luminal,13,3.2566624286
SRR7010679,-0.0781643031,-0.2520654752,-0.1739011721,Differentiation,1,Low_Differentiation,L2_I3_LUM_F2,individual 3,luminal,14,34.6576053625
SRR7010680,-0.0150799834,0.0408756411,0.0559556245,Differentiation,3,High_Differentiation,L2_I3_LUM_F4,individual 3,luminal,14,15.46789654
SRR7010681,-0.2526318092,0.1998838113,0.4525156205,Stemness,3,High_Stemness,L2_I3_LUM_F5,individual 3,luminal,14,20.7376198
SRR7010682,0.0348602128,0.351522738,0.3166625252,Stemness,3,High_Stemness,L2_I3_LUM_F6,individual 3,luminal,14,32.59717205
SRR7010683,-0.1535718411,-0.1218636768,0.0317081643,Differentiation,3,High_Differentiation,L2_I3_LUM_F7,individual 3,luminal,14,28.1669771667
SRR7010684,-0.3260690591,-0.1878905026,0.1381785565,Stemness,1,Low_Stemness,L2_I3_LUM_F8,individual 3,luminal,11,12.061066025
SRR7010685,-0.0622167961,0.1580238487,0.2202406448,Stemness,2,Moderate_Stemness,L2_I3_LUM_F9,individual 3,luminal,14,10.7329823
SRR7010686,-0.0703506664,0.1432868458,0.2136375122,Stemness,2,Moderate_Stemness,L2_I3_LUM_F10,individual 3,luminal,11,13.63580515
SRR7010687,-0.0352094765,0.0680656546,0.1032751311,Stemness,1,Low_Stemness,L2_I3_LUM_F11,individual 3,luminal,13,21.1931387
SRR7010688,0.0705641636,0.2069470985,0.1363829349,Stemness,1,Low_Stemness,L2_I3_LUM_F12,individual 3,luminal,14,23.55868995
SRR7010689,0.0715899899,-0.1416963031,-0.213286293,Differentiation,1,Low_Differentiation,L2_I3_LUM_G1,individual 3,luminal,11,3.0536820429
SRR7010690,-0.0091719111,0.0340306016,0.0432025127,Differentiation,3,High_Differentiation,L2_I3_LUM_G2,individual 3,luminal,12,57.1395128
SRR7010691,-0.175871027,0.1504163407,0.3262873677,Stemness,3,High_Stemness,L2_I3_LUM_G3,individual 3,luminal,12,16.87626494
SRR7010692,0.1029773453,0.2945061222,0.1915287769,Stemness,2,Moderate_Stemness,L2_I3_LUM_G4,individual 3,luminal,9,14.5590004
SRR7010693,0.0828376494,0.1566777956,0.0738401462,Stemness,1,Low_Stemness,L2_I3_LUM_G5,individual 3,luminal,12,1.0559452529
SRR7010694,-0.1066620386,0.2434470884,0.350109127,Stemness,3,High_Stemness,L2_I3_LUM_G6,individual 3,luminal,9,1.5860098786
SRR7010695,0.0457829373,0.2368997772,0.1911168399,Stemness,2,Moderate_Stemness,L2_I3_LUM_G7,individual 3,luminal,11,1.1537846857
SRR7010696,-0.045496899,0.1041296228,0.1496265218,Stemness,2,Moderate_Stemness,L2_I3_LUM_G10,individual 3,luminal,14,14.6440817
SRR7010697,0.2022594416,0.2559476432,0.0536882016,Differentiation,3,High_Differentiation,L2_I3_LUM_G11,individual 3,luminal,12,1.2772330221
SRR7010698,-0.1136153904,0.0539648925,0.1675802829,Stemness,2,Moderate_Stemness,L2_I3_LUM_G12,individual 3,luminal,14,17.48825148
SRR7010699,-0.1194335464,0.1142165953,0.2336501417,Stemness,2,Moderate_Stemness,L2_I3_LUM_H1,individual 3,luminal,13,16.7901617
SRR7010700,-0.0435682971,-0.0487189238,-0.0051506267,Differentiation,3,High_Differentiation,L2_I3_LUM_H3,individual 3,luminal,13,11.6164198
SRR7010701,-0.0399818958,0.0647476095,0.1047295053,Stemness,1,Low_Stemness,L2_I3_LUM_H4,individual 3,luminal,14,15.35950892
SRR7010702,-0.193717433,0.1358470712,0.3295645042,Stemness,3,High_Stemness,L2_I3_LUM_H5,individual 3,luminal,14,12.6754909
SRR7010703,-0.144659936,0.2729979395,0.4176578755,Stemness,3,High_Stemness,L2_I3_LUM_H6,individual 3,luminal,14,14.0670112
SRR7010704,0.1166702217,0.1406929249,0.0240227032,Differentiation,3,High_Differentiation,L2_I3_LUM_H7,individual 3,luminal,14,19.910151925
SRR7010705,0.0563116631,0.0691550234,0.0128433603,Differentiation,3,High_Differentiation,L2_I3_LUM_H10,individual 3,luminal,13,153.592731
