genes,gene_short_name
FXYD3,FXYD3
FXYD5,FXYD5
FYTTD1,FYTTD1
FZD3,FZD3
G3BP1,G3BP1
G3BP2,G3BP2
G6PC3,G6PC3
GABARAP,GABARAP
GABARAPL2,GABARAPL2
GABPB2,GABPB2
GABRG2,GABRG2
GALC,GALC
GALNT3,GALNT3
GALNT6,GALNT6
GAN,GAN
GANC,GANC
GAPDH,GAPDH
GAPVD1,GAPVD1
GARS,GARS
GART,GART
GATAD1,GATAD1
GATD1,GATD1
GBP2,GBP2
GBP4,GBP4
GCC2,GCC2
GCLM,GCLM
GCNT2,GCNT2
GCNT3,GCNT3
GDAP2,GDAP2
GDI2,GDI2
GDPGP1,GDPGP1
GEMIN2,GEMIN2
GEMIN6,GEMIN6
GFAP,GFAP
GFM1,GFM1
GFOD2,GFOD2
GFPT1,GFPT1
GGA1,GGA1
GGA2,GGA2
GGCX,GGCX
GGNBP2,GGNBP2
GGPS1,GGPS1
GHITM,GHITM
GHR,GHR
GIGYF1,GIGYF1
GIGYF2,GIGYF2
GINM1,GINM1
GJC1,GJC1
GK5,GK5
GLB1L3,GLB1L3
GLG1,GLG1
GLIPR1,GLIPR1
GLO1,GLO1
GLRX3,GLRX3
GLS,GLS
GLTP,GLTP
GLUD1,GLUD1
GLUL,GLUL
GMEB1,GMEB1
GMFB,GMFB
GMPS,GMPS
GNA11,GNA11
GNAI1,GNAI1
GNAI3,GNAI3
GNAS,GNAS
GNB1,GNB1
GNB4,GNB4
GNB5,GNB5
GNG12,GNG12
GNG5,GNG5
GNL2,GNL2
GNL3,GNL3
GNPTG,GNPTG
GNRHR2,GNRHR2
GOLGA2,GOLGA2
GOLGA3,GOLGA3
GOLGA4,GOLGA4
GOLGA8A,GOLGA8A
GOLGA8B,GOLGA8B
GOLGB1,GOLGB1
GON4L,GON4L
GOSR1,GOSR1
GOSR2,GOSR2
GOT2,GOT2
GPALPP1,GPALPP1
GPATCH2,GPATCH2
GPATCH2L,GPATCH2L
GPATCH8,GPATCH8
GPBP1,GPBP1
GPBP1L1,GPBP1L1
GPI,GPI
GPLD1,GPLD1
GPN2,GPN2
GPR137C,GPR137C
GPR155,GPR155
GPR157,GPR157
GPR21,GPR21
GPR85,GPR85
GPRC5A,GPRC5A
GPSM2,GPSM2
GPX4,GPX4
GRAMD2B,GRAMD2B
GRB2,GRB2
GREM1,GREM1
GRHL2,GRHL2
GRHPR,GRHPR
GRIPAP1,GRIPAP1
GRSF1,GRSF1
GS1-124K5.11,GS1-124K5.11
GSDMB,GSDMB
GSN,GSN
GSPT1,GSPT1
GSS,GSS
GSTK1,GSTK1
GSTM3,GSTM3
GSTO1,GSTO1
GSTO2,GSTO2
GSTP1,GSTP1
GTF2A2,GTF2A2
GTF2F2,GTF2F2
GTF2H2,GTF2H2
GTF2H2C,GTF2H2C
GTF2H5,GTF2H5
GTF2I,GTF2I
GTF2IP1,GTF2IP1
GTF2IRD2,GTF2IRD2
GTF2IRD2B,GTF2IRD2B
GTPBP10,GTPBP10
GTPBP2,GTPBP2
GTPBP4,GTPBP4
GULP1,GULP1
GUSB,GUSB
GVQW3,GVQW3
H1F0,H1F0
H2AFY,H2AFY
H2AFZ,H2AFZ
H3F3A,H3F3A
H3F3B,H3F3B
H6PD,H6PD
HACD1,HACD1
HACD2,HACD2
HACD3,HACD3
HACE1,HACE1
HADH,HADH
HADHA,HADHA
HADHB,HADHB
HAGH,HAGH
HARS,HARS
HAT1,HAT1
HAUS2,HAUS2
HAUS6,HAUS6
HBP1,HBP1
HBS1L,HBS1L
HCAR1,HCAR1
HDAC2,HDAC2
HDAC6,HDAC6
HDAC8,HDAC8
HDDC2,HDDC2
HDGF,HDGF
HDGFL3,HDGFL3
HDLBP,HDLBP
HEATR5A,HEATR5A
HEBP2,HEBP2
HECA,HECA
HECTD1,HECTD1
HECTD4,HECTD4
HELB,HELB
HELLS,HELLS
HELZ,HELZ
HEMK1,HEMK1
HERC1,HERC1
HERC2,HERC2
HERC4,HERC4
HERPUD1,HERPUD1
HES1,HES1
HEXA,HEXA
HGS,HGS
HGSNAT,HGSNAT
HIF1A,HIF1A
HIF1AN,HIF1AN
HIF3A,HIF3A
HIGD1A,HIGD1A
HINFP,HINFP
HINT1,HINT1
HIPK2,HIPK2
HIST1H1C,HIST1H1C
HIST1H4C,HIST1H4C
HIVEP1,HIVEP1
HK1,HK1
HLA-B,HLA-B
HLA-E,HLA-E
HM13,HM13
HMGB1,HMGB1
HMGCS1,HMGCS1
HMGN1,HMGN1
HMGN2,HMGN2
HMOX2,HMOX2
HNRNPA1,HNRNPA1
HNRNPA2B1,HNRNPA2B1
HNRNPA3,HNRNPA3
HNRNPC,HNRNPC
HNRNPD,HNRNPD
HNRNPDL,HNRNPDL
HNRNPF,HNRNPF
HNRNPH1,HNRNPH1
HNRNPH2,HNRNPH2
HNRNPH3,HNRNPH3
HNRNPK,HNRNPK
HNRNPL,HNRNPL
HNRNPM,HNRNPM
HNRNPR,HNRNPR
HNRNPU,HNRNPU
HNRNPUL1,HNRNPUL1
HOMER2,HOMER2
HOOK2,HOOK2
HOOK3,HOOK3
HP1BP3,HP1BP3
HPS4,HPS4
HPS5,HPS5
HSBP1,HSBP1
HSD17B12,HSD17B12
HSD17B2,HSD17B2
HSD17B4,HSD17B4
HSD17B7,HSD17B7
HSP90AA1,HSP90AA1
HSP90AB1,HSP90AB1
HSP90B1,HSP90B1
HSPA12A,HSPA12A
HSPA4,HSPA4
HSPA4L,HSPA4L
HSPA5,HSPA5
HSPA8,HSPA8
HSPA9,HSPA9
HSPD1,HSPD1
HSPE1,HSPE1
HSPH1,HSPH1
HUNK,HUNK
HUWE1,HUWE1
HYOU1,HYOU1
HYPK,HYPK
IAH1,IAH1
IARS,IARS
IBA57,IBA57
IBTK,IBTK
ICA1,ICA1
ICA1L,ICA1L
ICAM1,ICAM1
ICE2,ICE2
IDH3A,IDH3A
IDS,IDS
IER3,IER3
IER3IP1,IER3IP1
IFI16,IFI16
IFITM2,IFITM2
IFITM3,IFITM3
IFNAR1,IFNAR1
IFNGR1,IFNGR1
IFRD1,IFRD1
IFT20,IFT20
IFT22,IFT22
IFT81,IFT81
IGF1R,IGF1R
IGF2R,IGF2R
IGFBP3,IGFBP3
IK,IK
IKBKB,IKBKB
IKZF3,IKZF3
IL17RA,IL17RA
IL32,IL32
IL4R,IL4R
IL6R,IL6R
IL6ST,IL6ST
ILF2,ILF2
ILF3,ILF3
ILK,ILK
IMMT,IMMT
IMPAD1,IMPAD1
IMPDH2,IMPDH2
ING5,ING5
INIP,INIP
INO80C,INO80C
INO80D,INO80D
INPP5B,INPP5B
INSR,INSR
INTS11,INTS11
INTS3,INTS3
INTS6,INTS6
INTU,INTU
IP6K2,IP6K2
IPO5,IPO5
IPO7,IPO7
IPO9,IPO9
IQCG,IQCG
IQGAP1,IQGAP1
IREB2,IREB2
IRF1,IRF1
IRF2,IRF2
IRF2BP2,IRF2BP2
IRF2BPL,IRF2BPL
IRF6,IRF6
IRF9,IRF9
IRGQ,IRGQ
IRS2,IRS2
ISG20L2,ISG20L2
IST1,IST1
ITCH,ITCH
ITGA1,ITGA1
ITGA2,ITGA2
ITGA3,ITGA3
ITGA6,ITGA6
ITGAV,ITGAV
ITGB1,ITGB1
ITGB4,ITGB4
ITGB6,ITGB6
ITGB8,ITGB8
ITM2B,ITM2B
ITPR1,ITPR1
ITPR2,ITPR2
ITPRIPL2,ITPRIPL2
ITSN1,ITSN1
ITSN2,ITSN2
IVD,IVD
JAG1,JAG1
JAK1,JAK1
JKAMP,JKAMP
JMJD1C,JMJD1C
JOSD1,JOSD1
JUN,JUN
JUND,JUND
JUP,JUP
KANK1,KANK1
KANSL1,KANSL1
KANSL1L,KANSL1L
KANSL3,KANSL3
KARS,KARS
KAT6A,KAT6A
KAT6B,KAT6B
KAT7,KAT7
KATNBL1,KATNBL1
KCMF1,KCMF1
KCNB1,KCNB1
KCNC4,KCNC4
KCNE4,KCNE4
KCNJ14,KCNJ14
KCNJ6,KCNJ6
KCNK6,KCNK6
KCNMB1,KCNMB1
KCTD18,KCTD18
KCTD20,KCTD20
KCTD9,KCTD9
KDELR1,KDELR1
KDELR2,KDELR2
KDM2A,KDM2A
KDM5A,KDM5A
KDM5B,KDM5B
KDSR,KDSR
KHDC4,KHDC4
KHDRBS1,KHDRBS1
KIAA0319L,KIAA0319L
KIAA0586,KIAA0586
KIAA0930,KIAA0930
KIAA1109,KIAA1109
KIAA1191,KIAA1191
KIAA1217,KIAA1217
KIAA1324,KIAA1324
KIAA1328,KIAA1328
KIAA1671,KIAA1671
KIAA1841,KIAA1841
KIDINS220,KIDINS220
KIF1B,KIF1B
KIF1C,KIF1C
KIF3A,KIF3A
KIF3B,KIF3B
KIF5B,KIF5B
KIF6,KIF6
KIN,KIN
KLC1,KLC1
KLF10,KLF10
KLF6,KLF6
KLF7,KLF7
KLF8,KLF8
KLHL21,KLHL21
KLHL24,KLHL24
KLHL36,KLHL36
KLHL7,KLHL7
KLLN,KLLN
KLRD1,KLRD1
KMT2A,KMT2A
KMT2C,KMT2C
KMT2E,KMT2E
KNOP1,KNOP1
KNTC1,KNTC1
KPNA1,KPNA1
KPNA4,KPNA4
KPNA5,KPNA5
KPNA6,KPNA6
KPNB1,KPNB1
KREMEN1,KREMEN1
KRIT1,KRIT1
KRR1,KRR1
KRT14,KRT14
KRT17,KRT17
KRT5,KRT5
KRT6B,KRT6B
KRT7,KRT7
KRT8,KRT8
KRTCAP2,KRTCAP2
KTN1,KTN1
KXD1,KXD1
KYNU,KYNU
L2HGDH,L2HGDH
L3MBTL1,L3MBTL1
LAMA3,LAMA3
LAMB3,LAMB3
LAMC1,LAMC1
LAMC2,LAMC2
LAMP1,LAMP1
LAMP2,LAMP2
LAMTOR3,LAMTOR3
LAMTOR5,LAMTOR5
LAPTM4A,LAPTM4A
LARP1,LARP1
LARP4,LARP4
LARP4B,LARP4B
LARS,LARS
LCLAT1,LCLAT1
LCOR,LCOR
LDHA,LDHA
LDHB,LDHB
LDLR,LDLR
LEPROT,LEPROT
LETM1,LETM1
LETMD1,LETMD1
LGALS1,LGALS1
LGALS3,LGALS3
LGALS8,LGALS8
LGMN,LGMN
LHFPL2,LHFPL2
LHFPL5,LHFPL5
LIAS,LIAS
LIMA1,LIMA1
LIMD1,LIMD1
LIMK1,LIMK1
LIMS1,LIMS1
LIN7C,LIN7C
LINC02210,LINC02210
LIPG,LIPG
LITAF,LITAF
LLPH,LLPH
LMAN1,LMAN1
LMBR1L,LMBR1L
LMBRD1,LMBRD1
LMNA,LMNA
LONP2,LONP2
LPIN1,LPIN1
LPIN3,LPIN3
LPP,LPP
LRCH3,LRCH3
LRIG2,LRIG2
LRP10,LRP10
LRP12,LRP12
LRPAP1,LRPAP1
LRPPRC,LRPPRC
LRRC37A2,LRRC37A2
LRRC41,LRRC41
LRRC57,LRRC57
LRRC58,LRRC58
LRRC74B,LRRC74B
LRRC75A,LRRC75A
LRRC8A,LRRC8A
LRRFIP1,LRRFIP1
LRRFIP2,LRRFIP2
LRRK1,LRRK1
LRTM1,LRTM1
LSM12,LSM12
LSM14A,LSM14A
LSM3,LSM3
LSM5,LSM5
LSM8,LSM8
LTBR,LTBR
LTF,LTF
LUC7L,LUC7L
LUC7L2,LUC7L2
LUC7L3,LUC7L3
LYL1,LYL1
LYN,LYN
LYPLA1,LYPLA1
LYRM2,LYRM2
LYRM4,LYRM4
LYRM7,LYRM7
LYST,LYST
M6PR,M6PR
MAB21L3,MAB21L3
MACC1,MACC1
MACF1,MACF1
MAFF,MAFF
MAGED1,MAGED1
MAGI1,MAGI1
MAGI2,MAGI2
MAGT1,MAGT1
MALT1,MALT1
MAN1A2,MAN1A2
MANSC1,MANSC1
MAP1B,MAP1B
MAP1LC3B,MAP1LC3B
MAP2K2,MAP2K2
MAP3K13,MAP3K13
MAP3K2,MAP3K2
MAP3K20,MAP3K20
MAP4,MAP4
MAP4K4,MAP4K4
MAP4K5,MAP4K5
MAPK1,MAPK1
MAPK10,MAPK10
MAPK1IP1L,MAPK1IP1L
MAPK6,MAPK6
MAPKAPK5,MAPKAPK5
MARCH6,MARCH6
MARCH7,MARCH7
MARCKS,MARCKS
MARK3,MARK3
MARS,MARS
MARVELD2,MARVELD2
MARVELD3,MARVELD3
MAST3,MAST3
MAST4,MAST4
MAT2A,MAT2A
MAT2B,MAT2B
MATR3,MATR3
MAU2,MAU2
MAVS,MAVS
MBD3,MBD3
MBD5,MBD5
MBNL1,MBNL1
MBNL2,MBNL2
MBTPS1,MBTPS1
MCCC2,MCCC2
MCF2L2,MCF2L2
MCFD2,MCFD2
MCL1,MCL1
MCM8,MCM8
MCMDC2,MCMDC2
MCPH1,MCPH1
MCUR1,MCUR1
MDH1,MDH1
MDH2,MDH2
MDM2,MDM2
MDM4,MDM4
ME2,ME2
MEA1,MEA1
MEAK7,MEAK7
MECP2,MECP2
MED13,MED13
MED13L,MED13L
MED17,MED17
MED28,MED28
MED6,MED6
MEF2A,MEF2A
MESD,MESD
MET,MET
METAP2,METAP2
METTL16,METTL16
METTL21A,METTL21A
METTL2A,METTL2A
METTL2B,METTL2B
METTL3,METTL3
METTL6,METTL6
METTL7A,METTL7A
METTL8,METTL8
METTL9,METTL9
MFGE8,MFGE8
MFN1,MFN1
MFSD14C,MFSD14C
MFSD8,MFSD8
MGA,MGA
MGP,MGP
MGRN1,MGRN1
MGST1,MGST1
MGST3,MGST3
MIA2,MIA2
MIA3,MIA3
MICAL2,MICAL2
MICAL3,MICAL3
MICOS10,MICOS10
MICOS13,MICOS13
MICU1,MICU1
MIER1,MIER1
MIF,MIF
MIGA1,MIGA1
MINDY2,MINDY2
MIPOL1,MIPOL1
MITD1,MITD1
MIXL1,MIXL1
MKLN1,MKLN1
MKNK1,MKNK1
MKRN1,MKRN1
MLLT6,MLLT6
MLXIP,MLXIP
MMAB,MMAB
MMACHC,MMACHC
MMADHC,MMADHC
MMP14,MMP14
MMP24OS,MMP24OS
MMS22L,MMS22L
MNAT1,MNAT1
MOB1A,MOB1A
MOB3A,MOB3A
MOB4,MOB4
MOK,MOK
MON1B,MON1B
MORC3,MORC3
MORC4,MORC4
MORF4L1,MORF4L1
MORF4L2,MORF4L2
MOSPD2,MOSPD2
MPC2,MPC2
MPHOSPH10,MPHOSPH10
MPHOSPH8,MPHOSPH8
MPHOSPH9,MPHOSPH9
MPLKIP,MPLKIP
MPRIP,MPRIP
MPST,MPST
MPV17,MPV17
MPV17L,MPV17L
MPZL1,MPZL1
MPZL3,MPZL3
MR1,MR1
MRE11,MRE11
MRFAP1,MRFAP1
MRNIP,MRNIP
MRPL14,MRPL14
MRPL20,MRPL20
MRPL3,MRPL3
MRPL32,MRPL32
MRPL33,MRPL33
MRPL42,MRPL42
MRPL48,MRPL48
MRPL51,MRPL51
MRPL52,MRPL52
MRPL57,MRPL57
MRPS10,MRPS10
MRPS15,MRPS15
MRPS16,MRPS16
MRPS17,MRPS17
MRPS18C,MRPS18C
MRPS21,MRPS21
MRPS23,MRPS23
MRPS24,MRPS24
MRPS28,MRPS28
MRPS31,MRPS31
MRPS33,MRPS33
MRPS5,MRPS5
MRPS6,MRPS6
MRPS7,MRPS7
MRRF,MRRF
MRTFB,MRTFB
MRTO4,MRTO4
MSH2,MSH2
MSH6,MSH6
MSI2,MSI2
MSL1,MSL1
MSMO1,MSMO1
MSN,MSN
MSRB3,MSRB3
MT1X,MT1X
MT2A,MT2A
MTA2,MTA2
MTA3,MTA3
MTAP,MTAP
MTDH,MTDH
MTF2,MTF2
MTG2,MTG2
MTHFD1,MTHFD1
MTHFD2,MTHFD2
MTHFD2L,MTHFD2L
MTHFR,MTHFR
MTO1,MTO1
MTPAP,MTPAP
MTPN,MTPN
MTR,MTR
MTREX,MTREX
MTRNR2L1,MTRNR2L1
MTRNR2L10,MTRNR2L10
MTRNR2L2,MTRNR2L2
MTRNR2L4,MTRNR2L4
MTRNR2L6,MTRNR2L6
MTRNR2L8,MTRNR2L8
MTUS1,MTUS1
MVP,MVP
MX2,MX2
MXI1,MXI1
MXRA7,MXRA7
MYADM,MYADM
MYC,MYC
MYCBPAP,MYCBPAP
MYDGF,MYDGF
MYH11,MYH11
MYH9,MYH9
MYL12A,MYL12A
MYL12B,MYL12B
MYL6,MYL6
MYLK,MYLK
MYLK3,MYLK3
MYO10,MYO10
MYO15A,MYO15A
MYO18A,MYO18A
MYO19,MYO19
MYO1B,MYO1B
MYO1C,MYO1C
MYO6,MYO6
MYO9A,MYO9A
MYOF,MYOF
MYORG,MYORG
MYSM1,MYSM1
MYT1L,MYT1L
MZT2A,MZT2A
MZT2B,MZT2B
N4BP2L2,N4BP2L2
NAA15,NAA15
NAA20,NAA20
NAA25,NAA25
NAA50,NAA50
NAA60,NAA60
NAALADL2,NAALADL2
NABP1,NABP1
NACA,NACA
NADSYN1,NADSYN1
NAE1,NAE1
NAGK,NAGK
NAMPT,NAMPT
NANOG,NANOG
NANS,NANS
NAP1L1,NAP1L1
NAP1L4,NAP1L4
NAPG,NAPG
NARF,NARF
NARS,NARS
NASP,NASP
NAV1,NAV1
NAV2,NAV2
NAV3,NAV3
NBEAL1,NBEAL1
NBPF10,NBPF10
NBPF14,NBPF14
NBPF19,NBPF19
NBPF20,NBPF20
NBPF9,NBPF9
NBR1,NBR1
NCBP1,NCBP1
NCBP2,NCBP2
NCBP3,NCBP3
NCK1,NCK1
NCKAP1,NCKAP1
NCL,NCL
NCOA1,NCOA1
NCOA3,NCOA3
NCOA4,NCOA4
NCOA6,NCOA6
NCOA7,NCOA7
NCOR1,NCOR1
ND1,ND1
ND2,ND2
ND3,ND3
ND4,ND4
ND4L,ND4L
ND5,ND5
ND6,ND6
NDRG1,NDRG1
NDRG2,NDRG2
NDUFA1,NDUFA1
NDUFA11,NDUFA11
NDUFA12,NDUFA12
NDUFA13,NDUFA13
NDUFA2,NDUFA2
NDUFA3,NDUFA3
NDUFA4,NDUFA4
NDUFA5,NDUFA5
NDUFA9,NDUFA9
NDUFAB1,NDUFAB1
NDUFB1,NDUFB1
NDUFB11,NDUFB11
NDUFB2,NDUFB2
NDUFB3,NDUFB3
NDUFB4,NDUFB4
NDUFB5,NDUFB5
NDUFB6,NDUFB6
NDUFB8,NDUFB8
NDUFB9,NDUFB9
NDUFC1,NDUFC1
NDUFC2,NDUFC2
NDUFS1,NDUFS1
NDUFS2,NDUFS2
NDUFS4,NDUFS4
NDUFS5,NDUFS5
NDUFS7,NDUFS7
NDUFS8,NDUFS8
NDUFV2,NDUFV2
NDUFV3,NDUFV3
NECTIN4,NECTIN4
NEDD4,NEDD4
NEDD4L,NEDD4L
NEDD8,NEDD8
NEDD9,NEDD9
NEGR1,NEGR1
NEK1,NEK1
NEK9,NEK9
NELFCD,NELFCD
NEMF,NEMF
NEXN,NEXN
NF1,NF1
NF2,NF2
NFASC,NFASC
NFAT5,NFAT5
NFATC2IP,NFATC2IP
NFATC3,NFATC3
NFE2L1,NFE2L1
NFE2L2,NFE2L2
NFIA,NFIA
NFIB,NFIB
NFIC,NFIC
NFKBIA,NFKBIA
NFKBIZ,NFKBIZ
NFX1,NFX1
NFYC,NFYC
NGLY1,NGLY1
NGRN,NGRN
NHLRC2,NHLRC2
NHP2,NHP2
NHSL1,NHSL1
NIBAN1,NIBAN1
NIBAN3,NIBAN3
NIFK,NIFK
NIP7,NIP7
NIPAL3,NIPAL3
NIPBL,NIPBL
NIPSNAP2,NIPSNAP2
NIT2,NIT2
NKAP,NKAP
NKAPD1,NKAPD1
NKIRAS2,NKIRAS2
NKTR,NKTR
NLN,NLN
NMD3,NMD3
NME1,NME1
NME2,NME2
NME6,NME6
NME7,NME7
NMNAT1,NMNAT1
NMNAT3,NMNAT3
NMT1,NMT1
NNMT,NNMT
NOL8,NOL8
NOL9,NOL9
NOLC1,NOLC1
NONO,NONO
NOP10,NOP10
NOP16,NOP16
NOP53,NOP53
NOP56,NOP56
NOP58,NOP58
NOTCH2,NOTCH2
NPAS2,NPAS2
NPAT,NPAT
NPC1,NPC1
NPC2,NPC2
NPEPPS,NPEPPS
NPFFR1,NPFFR1
NPHP3,NPHP3
NPIPA1,NPIPA1
NPIPB12,NPIPB12
NPIPB3,NPIPB3
NPIPB4,NPIPB4
NPIPB5,NPIPB5
NPLOC4,NPLOC4
NPM1,NPM1
NPTN,NPTN
NQO1,NQO1
NQO2,NQO2
NR2C2,NR2C2
NR3C1,NR3C1
NRDC,NRDC
NRDE2,NRDE2
NSA2,NSA2
NSD2,NSD2
NSD3,NSD3
NSFL1C,NSFL1C
NSMCE2,NSMCE2
NSRP1,NSRP1
NSUN4,NSUN4
NT5C2,NT5C2
NT5DC3,NT5DC3
NUB1,NUB1
NUCB2,NUCB2
NUCKS1,NUCKS1
NUDC,NUDC
NUDCD2,NUDCD2
NUDT19,NUDT19
NUDT21,NUDT21
NUDT4,NUDT4
NUDT9,NUDT9
NUFIP2,NUFIP2
NUGGC,NUGGC
NUMA1,NUMA1
NUMB,NUMB
NUP107,NUP107
NUP155,NUP155
NUP214,NUP214
NUP42,NUP42
NUP43,NUP43
NUP50,NUP50
NUP58,NUP58
NUP62,NUP62
NUP85,NUP85
NUP88,NUP88
NUP98,NUP98
NUPR1,NUPR1
NUTF2,NUTF2
NVL,NVL
NXF1,NXF1
NXPE3,NXPE3
OAT,OAT
OAZ1,OAZ1
OAZ2,OAZ2
OCIAD1,OCIAD1
OCIAD2,OCIAD2
OCLN,OCLN
ODF2L,ODF2L
OFD1,OFD1
OGA,OGA
OGFRL1,OGFRL1
OGT,OGT
OLA1,OLA1
OPA3,OPA3
OPHN1,OPHN1
OPRD1,OPRD1
OPTN,OPTN
OR10H1,OR10H1
OR10H5,OR10H5
OR14J1,OR14J1
OR1A1,OR1A1
OR1I1,OR1I1
OR2AT4,OR2AT4
OR2M3,OR2M3
OR4D9,OR4D9
OR4F17,OR4F17
OR5A1,OR5A1
OR5AS1,OR5AS1
OR6C75,OR6C75
OR7C1,OR7C1
OR7D4,OR7D4
ORAI2,ORAI2
ORC2,ORC2
ORC4,ORC4
ORC6,ORC6
ORMDL2,ORMDL2
OSBPL2,OSBPL2
OSBPL9,OSBPL9
OSER1,OSER1
OSGEP,OSGEP
OSMR,OSMR
OST4,OST4
OSTC,OSTC
OSTM1,OSTM1
OTUB1,OTUB1
OTUD4,OTUD4
OTUD7B,OTUD7B
OXA1L,OXA1L
P2RX4,P2RX4
P2RX5-TAX1BP3,P2RX5-TAX1BP3
P3H1,P3H1
P4HB,P4HB
PA2G4,PA2G4
PAAF1,PAAF1
PABPC1,PABPC1
PABPC4,PABPC4
PABPN1,PABPN1
PAFAH1B1,PAFAH1B1
PAFAH1B2,PAFAH1B2
PAICS,PAICS
PAIP1,PAIP1
PAIP2,PAIP2
PAK2,PAK2
PAK4,PAK4
PALLD,PALLD
PAN3,PAN3
PANK3,PANK3
PAPOLA,PAPOLA
PAPOLG,PAPOLG
PAPSS1,PAPSS1
PARD6B,PARD6B
PARK7,PARK7
PARP1,PARP1
PARP14,PARP14
PARVA,PARVA
PATJ,PATJ
PAWR,PAWR
PBRM1,PBRM1
PBX1,PBX1
PCBD2,PCBD2
PCBP1,PCBP1
PCBP2,PCBP2
PCDHA4,PCDHA4
PCDHB1,PCDHB1
PCF11,PCF11
PCLAF,PCLAF
PCM1,PCM1
PCMT1,PCMT1
PCMTD1,PCMTD1
PCMTD2,PCMTD2
PCNP,PCNP
PCNX1,PCNX1
PCNX2,PCNX2
PCNX4,PCNX4
PCSK5,PCSK5
PCSK7,PCSK7
PCYOX1,PCYOX1
PDAP1,PDAP1
PDCD10,PDCD10
PDCD11,PDCD11
PDCD4,PDCD4
PDCD5,PDCD5
PDCD6,PDCD6
PDCD6IP,PDCD6IP
PDE12,PDE12
PDE4B,PDE4B
PDE4DIP,PDE4DIP
PDE6A,PDE6A
PDGFA,PDGFA
PDHB,PDHB
PDIA3,PDIA3
PDIA4,PDIA4
PDIA6,PDIA6
PDK1,PDK1
PDLIM5,PDLIM5
PDP2,PDP2
PDS5A,PDS5A
PDS5B,PDS5B
PDXDC1,PDXDC1
PDXK,PDXK
PEA15,PEA15
PEAK1,PEAK1
PEBP1,PEBP1
PER2,PER2
PERP,PERP
PET100,PET100
PEX13,PEX13
PEX26,PEX26
PFDN1,PFDN1
PFDN2,PFDN2
PFDN4,PFDN4
PFDN5,PFDN5
PFKFB2,PFKFB2
PFKP,PFKP
PFN1,PFN1
PGAM1,PGAM1
PGAM5,PGAM5
PGBD4,PGBD4
PGK1,PGK1
PGM3,PGM3
PGM5P2,PGM5P2
PGPEP1,PGPEP1
PGRMC2,PGRMC2
PHACTR2,PHACTR2
PHACTR4,PHACTR4
PHAX,PHAX
PHB,PHB
PHC3,PHC3
PHF14,PHF14
PHF20,PHF20
PHF20L1,PHF20L1
PHF3,PHF3
PHF6,PHF6
PHGDH,PHGDH
PHIP,PHIP
PHKB,PHKB
PHLDA1,PHLDA1
PHLDB1,PHLDB1
PHLPP2,PHLPP2
PIAS1,PIAS1
PIAS2,PIAS2
PICALM,PICALM
PIGH,PIGH
PIGM,PIGM
PIGN,PIGN
PIGP,PIGP
PIGR,PIGR
PIGT,PIGT
PIK3C2A,PIK3C2A
PIK3C3,PIK3C3
PIK3R1,PIK3R1
PIKFYVE,PIKFYVE
PILRB,PILRB
PINLYP,PINLYP
PITPNB,PITPNB
PJA2,PJA2
PKD1L2,PKD1L2
PKM,PKM
PKN2,PKN2
PKNOX1,PKNOX1
PKP2,PKP2
PLA2G12A,PLA2G12A
PLA2G4C,PLA2G4C
PLA2R1,PLA2R1
PLAU,PLAU
PLAUR,PLAUR
PLCE1,PLCE1
PLCG2,PLCG2
PLCXD1,PLCXD1
PLD3,PLD3
PLEKHA1,PLEKHA1
PLEKHA3,PLEKHA3
PLEKHA5,PLEKHA5
PLEKHB2,PLEKHB2
PLEKHG1,PLEKHG1
PLEKHG2,PLEKHG2
PLEKHH2,PLEKHH2
PLEKHJ1,PLEKHJ1
PLIN2,PLIN2
PLIN5,PLIN5
PLK2,PLK2
PLLP,PLLP
PLOD1,PLOD1
PLOD2,PLOD2
PLOD3,PLOD3
PLP2,PLP2
PLPP2,PLPP2
PLPP5,PLPP5
PLS3,PLS3
PLSCR1,PLSCR1
PLXDC2,PLXDC2
PLXNA3,PLXNA3
PM20D2,PM20D2
PMM2,PMM2
PMPCB,PMPCB
PNISR,PNISR
PNN,PNN
PNPLA8,PNPLA8
PNPO,PNPO
PNPT1,PNPT1
PNRC1,PNRC1
PNRC2,PNRC2
POC1B,POC1B
POGLUT1,POGLUT1
POGZ,POGZ
POLE,POLE
POLK,POLK
POLR1A,POLR1A
POLR1C,POLR1C
POLR1D,POLR1D
POLR2B,POLR2B
POLR2D,POLR2D
POLR2E,POLR2E
POLR2F,POLR2F
POLR2H,POLR2H
POLR2L,POLR2L
POLR3A,POLR3A
POLR3C,POLR3C
POLR3K,POLR3K
POMP,POMP
PON2,PON2
PPA1,PPA1
PPA2,PPA2
PPARA,PPARA
PPFIA1,PPFIA1
PPFIBP1,PPFIBP1
PPHLN1,PPHLN1
PPIA,PPIA
PPIB,PPIB
PPIE,PPIE
PPIG,PPIG
PPIL4,PPIL4
PPIP5K2,PPIP5K2
PPM1A,PPM1A
PPM1F,PPM1F
PPM1G,PPM1G
PPM1K,PPM1K
PPP1CB,PPP1CB
PPP1CC,PPP1CC
PPP1R10,PPP1R10
PPP1R12A,PPP1R12A
PPP1R12B,PPP1R12B
PPP1R13L,PPP1R13L
PPP1R15A,PPP1R15A
PPP1R15B,PPP1R15B
PPP1R2,PPP1R2
PPP1R37,PPP1R37
PPP2CA,PPP2CA
PPP2CB,PPP2CB
