Cell_Ids,Cluster,OR10A2,OR10G3,OR10H1,OR10H5,OR10J1,OR10K1,OR14J1,OR1A1,OR1D2,OR1I1,OR1M1,OR2A5,OR2AG1,OR2AG2,OR2AT4,OR2B11,OR2F1,OR2G6,OR2L2,OR2M3,OR2M4,OR2T12,OR2V2,OR4D1,OR4D9,OR4F17,OR4K13,OR4K17,OR4K2,OR51M1,OR52A1,OR52E4,OR52I1,OR52K1,OR56A1,OR56A4,OR5A1,OR5A2,OR5AS1,OR5AU1,OR5H14,OR6C75,OR6J1,OR6K3,OR6Y1,OR7A17,OR7C1,OR7D2,OR7D4,OR7G2,OR8A1,OR8B8,OR8H1
SRR2973326,3, 4.651618, 5.126328, 3.319810, 1.032418, 4.455107, 1.944840, 4.013551, 6.463600, 3.102521, 3.851805, 0.874677, 8.010865, 0.043611, 0.261877, 5.261769, 0.133102, 0.512825, 5.683738, 4.283338, 9.225401, 0.646688, 0.993371, 0.973013, 6.382820, 2.058605,24.582199, 0.061532, 0.074823, 1.561050, 0.000000, 0.000000, 0.217725, 2.012697, 4.182197, 3.127611, 0.313065, 0.610012, 1.012430, 5.205854, 1.077292, 0.089581, 8.904738, 0.104229, 2.085497, 2.245537, 0.128057, 3.549793, 0.294945, 0.086094, 1.031773, 1.554043, 0.252222, 0.934881
SRR2973327,3,11.143942, 5.583128, 0.275709, 0.811655, 0.471393, 0.260982, 0.837310, 2.197163, 2.848277, 0.850360, 0.211845, 0.076885, 0.000000, 0.108196, 0.723422, 0.236103, 4.899634, 0.094711, 0.320928, 4.895932, 0.000000, 0.234705, 0.000000, 0.000000, 1.144118,11.664281, 0.119902, 0.154962, 0.051577, 0.550157, 0.000000, 0.000000, 0.758658, 0.801757, 0.319513, 0.307797, 0.830300, 0.034898, 2.846794, 0.170043, 0.000000, 0.411432, 0.097438, 0.806938, 0.637695, 0.365043, 1.470937, 0.236737, 0.000000, 0.294773, 0.057552, 0.000000, 0.754252
SRR2973328,3, 0.306551, 5.414104, 3.166458, 2.323632, 0.747064, 0.559968, 2.650885, 1.978821, 8.187098, 4.204093,10.030021, 7.981849, 8.893337, 0.109025, 8.656777, 7.247368,23.509358, 0.091825, 0.000000,28.178652, 1.955375, 1.757013, 0.000000, 9.583327, 4.049907,40.084617, 0.077367, 0.000000, 1.003262, 0.393554,10.575140, 0.298361, 5.761917, 2.336990, 0.238619, 0.320865, 0.862493, 0.236537,19.009187, 0.742247, 1.229856,15.547266, 0.146368, 0.285287, 5.871708, 0.327150, 2.642863, 0.438393, 0.000000, 0.441169, 1.713604, 0.221875, 4.751383
SRR2973329,3, 0.085129,25.309834, 2.859812, 1.237696, 0.150840, 1.558528, 2.783227, 3.487336, 8.508440, 1.999792, 0.000000, 8.626154, 0.109959, 4.073696, 2.678863, 0.000000,16.786355, 0.162533, 0.207294,11.581415, 0.295486, 0.139878, 0.000000, 1.030189, 2.843742,32.319790, 0.149393, 0.169789, 1.426667, 0.299912, 0.436451, 0.266933, 0.339365, 1.637530, 0.508952, 0.295678, 1.661377, 0.565403, 8.570630, 0.055620, 0.000000, 7.017224, 0.253841, 9.620521, 0.896871, 0.676747, 1.550520, 0.163292, 0.226327, 4.407353, 2.977444, 0.000000, 2.344570
SRR2973330,3, 0.000000, 8.644592, 1.753852, 2.260557, 0.482697, 2.651909, 5.410373, 4.690169, 4.379619, 3.533597, 4.407703, 9.476106, 0.377872, 0.764223, 2.447101, 0.678059,55.969717, 3.114352, 5.362952,13.592810, 0.268007, 0.601882, 2.580300, 0.131890, 1.716799,45.740172, 0.087411, 0.591327, 1.041027, 2.517850, 0.052107, 1.103102, 1.900339, 3.291450, 0.298063, 1.425975, 2.143243, 0.622728,10.208501, 1.711700, 0.071169, 5.046843, 0.161794, 5.121718, 5.299797, 0.238667, 3.999431, 2.057500, 2.260258, 3.469212, 0.201513, 0.989423, 2.609482
SRR2973331,3, 0.118616, 5.809698, 7.710578, 4.732726, 0.401025, 1.389269, 4.983548,14.365887, 1.350054,10.799984, 5.322575, 6.657790, 0.231395, 1.340378, 8.435377, 0.200891, 0.544852,13.618220,28.265164,16.617767, 0.465334, 0.405820, 1.939119, 2.564403, 2.280268,45.166443, 0.908688, 1.539589, 0.000000,48.608895, 0.129554, 0.000000, 1.397865, 5.390880, 7.228655, 0.169163, 0.950341, 0.750470,12.101328, 0.074515, 2.674063,32.177776, 0.173772,12.533110, 1.661774, 0.714485, 8.602839,10.416072, 0.811605, 3.753042, 0.105306, 0.000000, 0.948163
SRR2973332,3, 0.138617, 1.528383, 1.966722, 2.316354, 0.259111, 0.144074, 1.347170, 2.115984, 0.317735, 1.080493, 1.202971, 3.336889, 0.138118, 0.099492, 2.021061, 0.638344, 8.614360, 0.725533, 4.282563, 3.457459, 0.000000, 0.000000, 1.198509, 0.284536, 0.309282,25.553588, 1.147511, 0.000000, 0.427266, 0.514629, 0.038232, 1.579419, 4.263694, 0.066115, 1.307557, 1.347353, 1.254388, 0.446082, 3.637547, 0.047788, 0.051846, 0.165636, 0.119159, 0.000000, 0.422922, 0.303610, 0.064976, 2.754308, 0.775973, 0.481053, 1.117206, 0.319481, 0.137885
SRR2973333,3, 0.000000, 4.297721, 0.781286, 4.184780, 0.000000, 0.195064, 2.057348, 0.899753, 1.021264, 0.406738, 0.455894, 3.838093, 0.155697, 0.000000, 1.870631, 0.088928, 0.000000, 0.229784, 3.669371,12.074253, 0.218060, 0.131479, 0.178270, 0.093558, 0.328664, 4.081455, 0.171790, 0.069744, 0.000000, 2.416917, 5.815831, 1.138971, 0.859197, 0.233968, 0.000000, 0.098935, 2.070089, 0.240828, 9.024399, 0.000000, 0.078148, 1.202727, 0.000000, 0.000000, 0.388029, 0.000000, 0.120032, 0.578539, 0.300929, 0.000000, 0.567586, 0.000000, 0.000000
SRR2973334,3,  0.000000,  0.627082,  2.377906,  1.595412,  0.321172,  0.939290,  7.106579, 20.068475,  0.212226,  6.020591,  0.680914,  1.837862,  0.587037,  0.000000,  2.852375,  0.501488,  2.642016,  0.870510,  0.458591, 11.238823,  0.391512,  5.708229,  5.912660,  0.076867,  0.883648, 51.382315,  0.392082,  0.000000,  0.044473,  1.522296,  0.185128,122.139442,  0.000000,  0.747167,  0.624606,  0.191912,  2.980535,  0.959804, 19.475876,  0.109672,  0.041310,  4.491582,  0.330681,  0.183311,  1.544559,  1.157553,  6.930345,  1.628378,  0.927236,  0.874150,  0.000000,  0.279515,  1.843688
SRR2973335,3, 1.445420, 2.370201, 1.042385, 1.574743, 0.408074, 0.928190, 2.623676, 3.429849, 4.493852, 3.584879, 2.194827, 1.990896, 0.057945, 0.080052, 1.027193, 0.300848, 0.315602, 0.489689, 1.558730,18.916379, 0.569622, 1.671342, 0.094963, 0.000000, 2.904545,30.672093, 0.113152, 0.000000, 1.055790, 0.467943, 0.032312, 4.482068, 0.459572, 0.719959, 2.309764, 0.000000, 1.486003, 1.041637,10.834362, 5.059537, 0.214111,12.215109, 0.892739, 0.565908, 2.465324, 0.114438, 0.451617, 0.130661, 0.178087, 0.586734, 1.140652, 0.316082, 0.000000
SRR2973337,3, 0.087315, 3.079399, 1.278774, 1.982675, 1.086393, 2.072377, 5.696921,15.661236, 3.844107, 3.043334, 5.872867, 0.000000, 0.116261, 0.312282, 4.593853, 0.544050, 6.752359, 5.177884, 0.103881,10.081978, 0.079106, 2.231677, 1.956279, 0.625920, 2.634966,24.110148, 0.361756, 0.477872, 0.105143, 0.000000, 0.000000, 2.800100, 6.750879, 2.324605, 0.729713, 0.000000, 1.459740, 0.257975, 9.059862, 0.915323, 0.277932, 4.015972, 1.010053, 0.249379, 2.824074, 0.000000, 0.232783, 0.000000, 3.650928, 2.021835, 4.331684, 0.368764, 0.658616
SRR2973338,3, 0.085408,21.172545, 0.893217, 2.122314, 0.605941, 0.687246, 4.835799, 5.311397, 2.767741, 3.189614, 0.263245, 3.601256, 0.000000, 0.106894, 3.814867, 0.287046, 0.000000, 1.647662, 2.172866,15.385319, 0.556044, 0.379966, 0.234731, 0.117429, 1.201800,21.973389, 7.076429, 0.000000, 0.125433, 2.815672, 0.088308, 0.669006, 1.015203, 0.957152, 2.032473, 0.126828, 1.267746, 1.182677, 7.074951, 0.229557, 0.000000, 4.249590, 0.000000, 0.000000, 2.073634, 0.145419, 0.042169, 0.385182, 0.105546, 1.114687, 1.106722, 1.893344, 1.450372
SRR2973339,3, 0.116856, 6.736858, 3.683874, 2.164824, 0.155628, 1.550544, 1.408902,13.883113, 5.260481, 0.859080, 6.550459, 6.990757, 0.062598, 0.000000, 5.409025, 0.000000,18.538869, 0.465443, 1.545750,17.028414, 6.830955, 1.150966, 6.745233, 0.405683, 3.413489,11.430111, 0.977867, 2.437199, 0.169672, 2.061748, 0.051594, 0.473227, 1.144937, 1.692970, 2.111852, 0.314964, 1.990860,13.701308,13.523096, 0.424993,31.296737, 4.015553, 0.000000, 2.139013, 2.002570, 0.000000,55.103686, 6.588585, 3.046735, 1.650425, 1.969472, 0.915005, 0.183966
SRR2973340,3, 0.000000, 6.019854, 0.231450, 0.840428, 0.087049, 0.766438, 0.542993, 2.238788, 0.623448, 0.771596, 6.502565,25.868021, 0.000000, 0.000000, 1.420840, 0.368724, 0.000000,63.558443, 0.205264, 1.384543, 0.000000, 0.289443, 1.467573, 2.009067, 0.000000, 0.806757, 0.051003, 0.258975, 3.078006, 0.228790, 0.030776,13.704414, 0.722273, 0.188783, 0.000000, 0.087641, 0.712960, 0.029743, 2.290199, 0.000000, 0.075358, 0.901418, 0.186190, 0.850462, 0.978795, 0.191029, 3.919683, 0.367689, 0.362045, 0.125268, 3.069707, 0.685348, 0.897367
SRR2973341,3, 0.126427, 2.208459, 1.303173, 0.373345, 0.273104, 2.394719, 3.737851, 1.845117, 1.530256, 1.593782, 2.065313, 1.509081, 0.157118, 0.216475, 2.460257, 0.000000, 1.727827, 2.672899, 0.377680,10.558924, 1.983308, 0.115370, 0.986865, 5.197022, 0.811441,51.783189, 0.000000, 0.139983, 0.000000, 0.000000, 0.029186, 1.833820, 1.741043, 2.066820, 2.650080, 0.670152, 1.224357, 0.431848, 8.768940, 0.184806, 0.199659, 5.786774, 0.105378, 0.000000, 2.863183, 1.175356, 0.149270, 0.970738, 0.066662, 0.141859, 0.000000, 0.342011, 1.663215
SRR2973342,3, 0.000000, 7.263141, 1.856434, 2.115723, 0.406394, 2.042036, 1.638070, 2.607873, 3.816320, 4.072772, 0.268460,19.624926, 0.000000, 0.000000, 3.948859, 0.550618, 0.000000, 0.129720, 0.152622, 7.201462, 0.000000, 1.004652, 1.990769, 0.000000, 1.477079,10.416085, 0.225518, 0.215088, 4.172878, 0.000000, 0.088111, 2.637634, 0.315938, 2.059799, 0.675935,32.022092, 1.453178, 0.264893,12.253707, 0.374187, 0.456700, 0.595111, 5.518501, 0.000000, 1.676208, 0.335623, 0.079514, 1.378675, 1.228311, 1.566264, 0.535299, 0.282614, 1.335478
SRR2973343,3, 0.151593,15.446612, 0.554022, 1.857602, 0.360529, 0.342744, 2.408497,10.923049, 1.045529, 1.943622, 5.391126,11.014112,17.323079, 0.501573, 8.632865, 0.381509, 7.181666, 2.637066, 3.625397, 6.558132, 0.135600, 1.147226, 1.492917, 0.186405, 1.244799,37.067992, 0.338575, 6.390981, 0.637357, 0.000000, 0.479429, 0.587809, 0.318953, 8.982162, 0.148098, 0.113725, 1.417704, 1.376212, 8.800788, 0.155453, 1.253201,10.942008, 0.113910, 0.484281, 0.425932, 0.921944, 1.187879, 6.275125, 1.296390, 1.065756, 3.457767, 0.165830, 4.024707
SRR2973344,3, 0.075709, 2.884591, 3.273508, 0.480342, 0.119890, 4.589417, 3.317622, 9.995655, 5.929639, 7.542283, 1.033615, 6.118068, 0.235349, 0.479894,14.654153, 0.217148, 0.000000, 0.364830, 1.938396,21.883530, 0.204542, 1.517999, 5.945679, 0.098401, 3.839949,37.223544, 0.000000, 0.312858, 0.054908, 8.726700, 0.768253, 1.640953, 2.522370, 6.495625, 0.682515, 2.427057, 4.625336, 0.000000, 4.110521, 0.439178, 0.534712, 2.685173, 2.475747, 0.705114, 6.339509, 0.393324,11.023898, 0.438697, 1.007565, 3.505170,21.155676, 0.234829, 0.516117
SRR2973346,3, 0.000000, 5.878685, 0.867313, 0.677493, 0.000000, 2.520059, 3.789043, 7.136599, 2.540758, 1.321881, 0.868433, 5.169300, 0.000000, 0.333335, 2.930333, 0.195911, 1.274478, 3.416216, 5.476286,13.887279, 0.000000, 1.128117, 0.255402, 0.000000, 1.074219,52.950355, 0.058686, 0.863594, 0.000000, 0.464473, 6.525890, 1.019833, 3.471535, 0.000000, 1.407258, 0.000000, 1.599998, 0.000000,12.835367, 0.086456, 1.275128,16.991560, 0.834809, 0.729809, 1.633710, 1.319361, 0.214744, 0.364871, 1.130555, 2.118481, 0.053787, 0.000000, 1.565712
SRR2973347,3, 0.673800,26.673822, 2.874773, 1.197315, 0.112449, 2.124066, 4.183830, 1.660202, 1.415610,12.107479, 1.115682, 1.268620, 0.050320, 0.000000, 1.351128, 0.229025,70.708554, 0.072022, 0.895718,14.222671, 0.370103, 4.894487, 5.193908, 0.542541, 4.640867,28.063277, 1.244070, 0.000000, 0.212938, 0.417209, 0.078060, 1.353929, 0.275202, 1.417455, 2.819992, 0.000000, 8.192666, 0.357234, 7.492140, 0.336193, 0.000000, 1.919216, 0.408797, 1.019345, 2.446846, 0.604228, 3.346638, 0.000000, 0.149113, 0.615723, 5.721572, 2.584970, 0.201135
SRR2973348,3,  0.068468, 10.833958,  2.392981,  1.563544,  3.131449,  4.906249,  5.875291,  9.070499,  1.223205,  1.583573,  0.290423,  0.326074,  0.000000,  0.522842,  1.338251,  0.000000, 29.120036,  0.139473,  0.509601,  9.730144,  0.913321,  0.839958, 14.556647,  0.884097,  1.588710,177.815769,  0.059738,  5.145144,  0.057961,  2.417497,  0.070760,  1.946642,  3.264678,  9.042792,  4.798475,  0.000000,  1.689035,  3.353618, 14.089214,  0.046398,  0.821359,  6.986654,  0.999100,  1.815780,  1.531217,  0.269321,  1.359771,  1.909961,  0.640804,  0.323312,  1.948907,  0.730287,  0.000000
SRR2973349,3, 0.130499, 0.578531, 3.175067, 0.389157, 0.420114, 0.246463, 1.398698, 4.821590, 2.433543, 4.835735, 0.974565, 1.717894, 0.000000, 0.000000, 1.429783, 0.000000, 8.335238, 1.155789, 0.723069, 8.871284, 4.924561, 0.999066, 0.919099, 3.470391, 4.416047,19.980543, 0.808479, 0.849442, 0.000000, 2.419389, 0.203120, 0.000000, 3.049307, 0.660174, 1.001253, 0.708607, 0.659834, 0.758675, 3.581898, 0.255205, 0.126051, 4.511489, 0.097367, 0.783866, 0.780035, 0.326779, 0.409035, 0.606373, 0.629208, 0.583522, 1.012423, 0.000000, 0.838966
SRR2973353,5, 0.079984, 0.786044, 3.132989, 1.180933, 0.224692, 1.476112,10.835273, 3.262781, 2.016968, 1.231776, 4.413658, 0.210335, 0.000000, 0.170045, 4.095866, 2.210342, 0.000000, 0.753790, 0.963322, 5.027018, 0.538644, 1.258426, 0.843478, 0.000000, 0.798576, 6.144083, 0.055781, 2.439301, 0.000000, 0.249179, 0.188406, 0.295919, 1.782608, 0.505827, 0.692882, 0.184528, 0.163944, 0.697675, 4.539019, 0.155310, 0.000000, 4.151930, 0.109900, 2.309547, 1.597396, 1.648062, 0.327174, 1.805535, 0.517247, 2.327414, 0.209221, 0.298766, 0.565201
SRR2973354,5,11.644837, 5.366750, 0.908629, 1.487719, 3.452037, 1.360729, 6.048419, 1.700170, 5.161795, 4.042173, 2.537061, 6.322698, 0.560748, 0.313822, 4.627161, 0.768933, 0.478403, 0.286087, 0.200628, 4.788764, 0.306748, 0.248944, 1.718482, 0.385816, 1.627145,31.739481, 0.000000, 2.822349, 0.383113, 0.000000, 0.357736, 0.000000, 0.340739, 0.728196, 0.072521, 0.088132, 0.554284, 0.562649, 6.128972, 0.735108, 0.114246, 0.445376, 0.939526, 1.409386, 3.836845, 0.000000, 0.284056, 3.253042, 0.630312, 1.430908, 5.788501, 1.445239, 1.684068
SRR2973355,5, 0.189756, 3.322295, 1.871143, 2.545567, 0.085135, 1.028619, 2.924702, 3.349898, 7.311979, 2.796598, 2.129598, 9.588195, 0.372683, 0.115469, 2.502777, 1.618123, 2.008805, 0.463184, 2.373424, 6.510667, 0.609590, 1.371069, 2.121034, 1.160741, 1.173116,12.103503, 0.444301, 2.884670, 0.000000, 0.622952, 0.047362, 0.000000, 0.102972, 2.646202, 2.229246, 0.458367, 1.231413, 0.788552, 2.797028, 4.191993, 1.341773, 4.069367, 0.070808, 0.976986, 2.888737, 0.399473, 0.856119,23.946382, 0.474246, 0.101986, 0.162725, 1.295847, 2.032602
SRR2973356,5, 0.110787, 1.886946, 1.063330, 1.259840, 4.707978, 0.228394, 4.397290, 4.612557, 1.223471, 3.060570, 0.632603, 2.793263, 0.131914, 1.342653, 1.926284, 1.518968, 1.439258, 0.227531, 0.210580,11.234124, 0.042711, 0.056512, 0.000000, 0.000000, 0.162228, 7.071784, 0.000000, 0.628852, 0.108927, 0.234133, 0.281135, 0.000000, 1.482131, 0.000000, 0.160454, 0.069104, 0.104895, 0.248373, 3.046118, 0.203903, 0.000000, 7.141012, 0.000000, 0.185340, 0.666066, 0.859871,22.381093, 0.752206, 0.815151, 1.316265, 2.418862, 1.080977, 0.087555
SRR2973357,5, 0.093744,16.355704, 0.880338, 1.549748, 0.000000, 0.924714, 2.666214, 6.504475, 2.680780, 1.879227, 2.253619, 2.196449, 0.000000, 0.066637, 0.174274, 6.506803, 0.000000, 0.662136, 0.063378, 7.397855, 0.735032, 0.610363, 0.069577, 0.079777, 2.201354,19.301691, 0.042548, 1.120502, 0.181764, 0.000000, 0.028061, 2.754813, 1.076922, 0.086152, 1.528263, 0.285664, 0.142759, 0.453447, 3.631386, 0.875293, 0.030358, 2.392388, 0.152143, 1.998093, 0.449483,11.045840, 1.315846, 0.296498, 0.671164, 2.937721, 0.939672, 0.121275, 0.179948
SRR2973358,5, 0.348241, 5.416389, 0.858563, 1.199373, 0.000000, 0.492168, 6.938106, 0.636670, 4.361922, 1.958066, 1.310504, 0.200647, 0.354084, 0.997116, 0.774267, 3.235984, 0.331940, 2.729785, 0.425299, 7.323223, 0.041748, 0.038299, 0.547653, 0.000000, 0.777052,13.989221, 0.000000, 6.752197, 0.000000, 0.204268, 0.109216, 0.000000, 1.813758, 0.123817, 0.000000, 0.068585, 2.915228, 0.308005, 7.850203, 0.438745, 0.000000, 0.104791, 1.703175, 2.638467, 0.310152, 0.000000, 2.372209, 0.904063, 1.011336, 0.197012, 4.968804, 0.882537, 0.000000
SRR2973359,5, 0.298922, 5.520152, 3.422319, 2.719177, 0.391417, 1.517109, 2.440208, 3.522353, 2.716787, 1.561660, 8.545130, 0.000000, 0.038800, 0.000000, 4.132217, 0.097327,20.938011, 4.864307, 0.663214,11.835807, 1.747586, 0.719571, 0.000000, 0.870688, 2.614527,12.018736, 0.055187, 4.384523, 0.405410, 0.266054, 0.407701, 0.094712, 3.541431, 0.978746, 0.033360, 1.897048, 2.117243, 0.244645, 4.022338, 0.692594, 0.151579, 3.361044, 1.673994, 3.863324, 0.519268, 0.139667, 0.787317, 7.367816, 1.036476, 2.568025, 2.907506, 0.517605, 0.000000
SRR2973360,5, 0.119217, 1.062948, 1.363386, 1.324421, 0.000000, 1.515342, 1.837076, 6.765483, 2.199921, 1.349919, 3.094958, 0.000000, 0.038293, 0.299627, 3.731835, 3.276436, 0.000000, 1.473197, 1.079531,18.134386, 0.120490, 1.287524, 0.564046, 1.531304, 0.549112, 8.942147, 0.272761, 1.257541, 0.000000, 1.234313, 0.188544, 4.694974, 1.134442, 0.365970, 0.187216, 0.000000, 0.398348, 1.950304, 4.931277, 0.076595, 0.112532, 0.551700, 1.885477, 0.727932, 2.006171, 0.259026, 0.105964, 3.846685, 0.798287, 0.393764, 1.057584, 0.523277, 0.000000
SRR2973361,5, 0.054867, 0.957824, 0.964376, 4.893473, 0.079053, 0.288842,11.941934, 1.162169, 3.658571, 3.414915, 5.251452, 8.591386, 1.172253, 0.954363, 2.841476, 4.263842, 3.059191, 1.258407, 0.555266, 5.590545, 0.047875, 0.173283, 2.802364, 1.011914, 2.012656,20.608283, 0.748319, 1.171646, 0.195644, 1.651901, 0.189444, 0.000000, 1.217288, 0.000000, 0.163584, 0.000000, 0.336969, 0.837052, 3.293499,51.445752, 0.129768, 7.228031, 0.659306, 0.611889, 1.884578, 1.242955, 0.057302, 1.384953, 0.848042, 0.113109, 2.097535, 1.536224, 0.000000
SRR2973363,5, 0.056563, 4.719337, 1.131331, 3.053518, 1.685385, 0.968408, 3.072639, 7.223919, 0.439222, 2.491988, 5.824382, 0.166354, 0.132880, 0.000000, 5.038128, 0.229182,14.086867, 0.576337, 0.936230,10.825677, 3.754561, 1.384248, 0.292064, 0.532054, 1.256976,17.781072, 0.046178, 3.859166, 0.102569, 0.198719, 0.187849, 0.887868, 0.851438, 0.424210, 1.978156, 0.082578, 2.012900, 1.967510, 7.655244, 0.474380, 2.816256, 4.769781, 0.502681, 0.000000, 0.525531, 0.227541, 0.820828, 3.018359, 0.899683, 2.346353, 1.586088, 0.555551, 0.100762
SRR2973365,5,0.134226,1.264434,1.052394,1.563052,1.076519,1.086733,3.076482,0.735982,1.560244,0.897892,2.028968,1.279197,0.204023,0.064897,1.136049,0.074007,5.492460,0.041770,0.370208,4.751547,0.770256,0.073840,0.616838,2.751919,0.788029,8.165139,0.402204,0.360433,2.168828,0.000000,0.033700,0.000000,1.111421,0.694986,0.683891,0.222435,0.453715,0.139577,4.404622,0.029784,0.145344,0.000000,0.402615,1.087232,0.288034,0.319570,1.594533,0.000000,0.570608,0.000000,0.708388,0.000000,0.084872
SRR2973366,5, 0.212141, 0.491605, 0.510634, 2.656198, 0.124917, 0.456985, 1.463396, 2.657202, 0.046172, 3.651251, 0.719048, 5.813784, 0.082659, 0.608391, 0.440133, 0.594255, 1.586945, 0.894296, 0.364175, 3.179838, 0.265835, 0.329224, 1.012065, 0.281282, 0.051018, 7.838719, 0.454580, 0.566027, 0.000000, 0.000000, 0.117214, 4.283030,16.217597, 1.103210, 0.000000, 0.156245, 0.244536, 2.433317, 7.685889, 0.000000,10.378218, 2.366565, 0.000000, 0.126226, 0.324981, 0.491651, 0.044101, 1.575471, 0.302524, 0.124942, 0.036299, 0.000000, 0.160936
SRR2973367,5, 0.064074,14.101958, 0.119502, 1.996064, 0.083817, 2.509809, 3.347160, 3.500396, 0.065125, 1.075757, 1.151021, 0.155974, 0.150590, 0.418778, 2.235745, 0.052517, 4.787768, 0.862163, 0.071919, 4.251890, 0.067213, 1.202055, 0.761875, 0.135524, 0.856050,11.175594, 0.392674, 0.180863, 0.286380, 0.428480, 0.058109, 0.000000, 0.000000, 0.302703, 0.838707, 0.000000, 0.000000, 0.081532, 4.110507, 0.035596, 0.172710, 7.534657, 1.726933, 0.751686, 1.883650, 0.193660, 0.077751, 1.484786, 0.282940, 0.139690, 0.047940, 0.273520, 0.732854
SRR2973368,5, 0.261924, 3.747928, 4.049685, 0.501703, 0.168950, 1.687697, 0.903620, 2.584426, 4.901337, 0.945358, 0.212676,58.167351, 0.000000, 1.806428, 1.338506, 0.000000, 0.000000,21.307624, 0.513675,12.040498, 2.722569, 0.000000, 2.276308, 0.136316, 0.375326, 2.846820, 0.000000, 0.173160, 0.000000, 0.294358, 0.326416, 0.000000, 0.586113, 0.000000, 0.000000, 0.000000, 0.206220, 0.000000, 1.037565, 0.916166, 0.000000, 4.037526, 1.212619, 1.010133, 0.000000, 0.000000, 0.024627, 1.062017, 2.902254, 1.674961, 0.102298, 0.000000, 0.123698
SRR2973369,5, 0.365201, 1.115528, 1.256764, 0.362000, 0.227398, 0.385605, 3.676237, 3.027903, 0.849276, 2.070111, 1.032447, 3.102251,36.574509, 0.115413, 2.185872, 0.000000,28.038213, 2.562605, 0.377628, 5.740022, 1.078520, 0.446632, 0.245749, 0.293997, 1.454679,18.635757, 0.093567, 0.784208, 1.213834, 0.625767, 0.121032, 0.000000, 0.000000, 0.408004, 0.274911, 0.259814, 1.601681, 0.182263, 1.924244, 0.089403, 0.086704, 2.507171, 0.115554, 1.719708, 0.557896, 0.154660, 1.086726, 0.814251, 0.331719, 1.051764, 4.008358, 0.227796, 0.491093
SRR2973386,5,  0.052985,  3.653622,  0.831450,  1.754189,  0.677405,  0.434211,  8.021070,  1.188349, 15.183454,  1.236134,  0.824959,  3.479521,  0.108721,  0.346831,  0.324922,  0.284938,  0.328755,  3.413256,  0.406158,  8.927571,  0.110175,  0.048167,  1.695604,  0.289098,  1.633862, 38.607368,  0.143713,  3.792967,  0.086206,  0.000000,  0.085807,  1.109980,  0.574075,  0.097961,  5.912265,  0.160900,  1.511743,  2.737798,  8.724825,  0.241342,103.157735,  3.123978,  0.472337,  0.165583,  1.970361,  1.798968,  2.564710,  0.412093,  0.584328,  3.904928,  1.152109,  0.715178,  0.000000
SRR2973393,5, 0.256584, 3.828715, 3.496873, 1.554568, 0.369888, 0.268447, 8.301112, 2.312660, 5.885317, 2.668396, 8.306971, 9.506878, 0.073754, 0.609084, 2.435952, 0.423393, 5.100086, 1.469311, 1.625761,13.687087, 0.109162, 0.813194, 1.786690, 0.391917, 1.215836,14.305307, 0.562746,10.419108, 0.095028, 4.261800, 0.238178, 1.303572, 1.798943, 2.903072, 0.738451, 1.141958, 1.676758, 1.525921,13.300050, 0.557686, 0.297740, 1.169021, 2.979265, 2.352727, 8.585919, 0.655142, 1.018298, 1.486218, 1.840343, 2.271611, 0.406595, 0.884214, 0.238413
SRR2973396,5, 0.048847, 7.386172, 0.390035, 1.241251, 0.152501, 0.321631, 1.025937, 3.665247, 4.159602, 2.364702, 0.528700,33.498805, 0.000000, 0.000000, 2.888346, 0.242502, 1.468019, 0.095318, 0.199123, 3.151336, 0.183212, 0.516354, 0.272110, 0.061867, 0.294028, 3.565556, 0.175059, 1.384632, 0.234130, 0.646689, 0.485045, 1.840213, 0.412782, 1.511904, 0.110692, 0.000000, 0.455098, 1.816898, 1.672141, 0.043278, 0.794899, 1.250358, 0.280989, 0.000000, 0.376393, 0.000000, 0.713776, 0.633709, 0.088333, 0.424387, 0.000000, 0.322371, 0.188932
SRR2973397,5, 0.063014,11.208107, 1.107742, 0.352131, 0.082006, 0.000000, 1.579807, 3.354767, 4.789880, 1.184976, 8.633454, 0.034789, 0.040057, 0.000000, 6.422593, 0.447772, 0.000000, 0.633325, 0.965284,13.413449, 1.693714, 0.283610, 0.933329, 0.073459, 2.503368,23.697371, 0.739861, 4.408927, 0.092137, 0.000000, 0.090431, 0.000000, 2.201013, 3.654794, 2.148721, 0.000000, 2.217912, 0.956031, 5.409366, 0.265895, 0.076461, 0.389846, 0.576434, 0.000000, 9.749222, 0.000000, 0.463209, 5.288099, 0.502408, 0.115561, 0.047535, 0.590094, 1.721222
SRR2973400,5,0.047906,6.017852,0.300139,0.243199,0.058324,0.198097,1.038897,1.195261,0.501883,0.619837,0.000000,0.047379,0.163123,0.578399,1.461485,0.000000,0.000000,0.304356,0.147642,2.881887,0.141171,0.074268,0.648237,0.099328,0.481826,8.482023,0.071016,0.239754,0.665417,0.000000,0.021483,0.070964,0.000000,0.674906,0.397059,0.353769,0.071821,0.462484,2.836140,0.447760,0.025713,1.730427,0.000000,0.000000,0.550288,0.153372,0.256121,1.329766,0.511216,0.503620,0.196712,0.822667,0.251142
